145 (144),Sep 13,LAD,,SFG,W,6-3,CG,34,9.0,0,2,0,2,0,2B
146,Sep 15 (1),LAD,@,PHI,W,1-0,CG,32,9.0,0,1,0,1,0,2B
147,Sep 15 (2),LAD,@,PHI,W,1-0,CG,30,9.0,3,1,0,4,1,2B
148,Sep 16,LAD,@,PHI,L,4-8,CG,47,10.1,5,4,0,9,3,2B
149,Sep 17,LAD,@,PHI,L,1-6,CG,36,8.0,4,3,0,7,1,2B
150,Sep 18,LAD,@,NYM,L,2-7,CG,35,8.0,0,2,0,2,1,2B
151,Sep 19,LAD,@,NYM,L,3-6,CG,37,8.0,3,4,0,7,0,2B
152,Sep 20,LAD,@,NYM,W,4-3,CG,37,9.0,6,3,0,9,2,2B
153,Sep 22,LAD,,PHI,W,7-1,CG,31,9.0,3,3,0,6,1,2B
154,Sep 23,LAD,,PHI,L,0-4,CG,42,9.0,2,5,0,7,1,2B
155,Sep 24,LAD,,PHI,L,1-3,CG,39,9.0,0,5,0,5,1,2B
156,Sep 25,LAD,,PIT,L,1-2,CG,43,11.0,3,4,0,7,1,2B
157,Sep 26,LAD,,PIT,W,3-1,CG,37,9.0,3,2,0,5,1,2B
158,Sep 27,LAD,,PIT,L,0-1,CG,31,9.0,2,1,0,3,1,2B
159,Sep 28,LAD,,NYM,W,3-0,CG,30,9.0,2,4,0,6,1,2B
160,Sep 29,LAD,,NYM,L,1-5,CG,36,9.0,4,5,0,9,3,2B
161,Sep 30,LAD,,NYM,L,0-5,CG,39,9.0,2,1,1,4,0,2B
