1,16,May 4,WSH,,BOS,W,8-7,,W(1-0),99,7.0,4,3,0,5,6,0,0,0.00,30,,,,,25,,,,,,
2,19,May 9,WSH,,CHW,L,2-7,,,4,2.0,4,4,0,1,2,0,1,0.00,13,,,,,11,,,,,,
3,22,May 12,WSH,@,CLE,L,1-6,GS-,L(1-1),2,6.0,9,6,0,3,0,1,0,0.00,27,39,,,,23,,,,,,
4,26,May 18,WSH,,SLB,L,2-8,,,5,1.0,0,0,0,1,2,0,0,0.00,5,,,,,4,,,,,,
5,33,May 25(2),WSH,@,NYY,L,5-9,,,6,4.1,7,4,0,4,0,0,1,0.00,22,,,,,17,,,,,,
