1,12,May 3,CHW,@,DET,L,1-13,,,99,0.0,1,1,1,3,0,0,0,inf,4,,,,,1,,,,,0,
2,17,May 8,CHW,@,CLE,L,3-17,,,4,0.0,2,3,3,3,0,0,0,inf,5,,,,,2,,,,,0,
3,26,May 19,CHW,,NYY,L,4-11,,,10,4.2,4,0,0,1,3,0,0,7.71,18,,,,,17,,,,,0,
4,30,May 23,CHW,,WSH,L,5-9,GS-,L(0-1),3,0.0,0,0,0,2,0,0,0,7.71,2,48,,,,0,,,,,0,
5,33,May 26(1),CHW,@,DET,L,1-11,,,2,8.0,9,5,5,5,0,0,0,6.39,35,,,,,28,,,,,0,
6,40,May 31,CHW,,SLB,L,7-8,,L(0-2),4,2.1,4,3,3,4,1,0,0,7.20,15,,,,,9,,,,,0,
7,61,Jun 26,CHW,,DET,L,8-10,,,25,1.0,2,1,1,0,0,0,0,7.31,5,,,,,5,,,,,0,
8,66,Jul 2(1),CHW,@,SLB,W,11-8,GS-,,5,3.2,2,2,2,3,1,0,1,6.86,16,47,,,,12,,,,,0,
9,71,Jul 5,CHW,@,CLE,L,4-16,,,2,5.0,7,10,5,5,0,0,0,7.30,24,,,,,19,,,,,0,
10,74,Jul 7(2),CHW,,DET,L,6-9,,L(0-3),1,5.0,4,3,2,2,0,0,0,6.67,19,,,,,14,,,,,0,
11,80,Jul 13,CHW,,WSH,L,9-10,,,5,4.0,4,2,2,2,3,1,0,6.42,18,,,,,15,,,,,0,
12,101,Aug 6,CHW,@,BOS,L,4-9,,,23,2.0,1,2,0,1,1,0,0,6.06,8,,,,,6,,,,,0,
13,106,Aug 10,CHW,@,NYY,L,8-14,,,3,0.0,1,3,3,3,0,0,0,6.81,4,,,,,1,,,,,0,
