122 (121),Aug 23,CIN,,ARI,L,0-4,GF,4,1.0,0,0,0,0,0,P
123,Aug 24,CIN,,DET,W,12-5,,8,2.0,0,0,0,0,0,P
127 (3),Aug 28,CIN,@,MIL,L,0-5,,4,0.1,0,0,0,0,0,P
130 (2),Aug 31,CIN,@,CHC,W,13-6,,3,1.0,0,0,0,0,0,P
133 (2),Sep 5 (1),CIN,,MIL,L,6-8,GF,5,1.0,0,0,0,0,0,P
137 (3),Sep 8,CIN,,PIT,L,3-7,,5,1.0,0,0,0,0,0,P
142 (4),Sep 13,CIN,,STL,L,2-9,GF,4,1.0,0,0,0,0,0,P
143,Sep 14,CIN,@,SFG,L,3-5,,3,1.0,0,0,0,0,0,P
145 (1),Sep 16,CIN,@,SFG,L,3-5,,6,1.0,0,0,0,0,0,P
146,Sep 18,CIN,@,MIL,W,5-3,,4,0.1,0,0,0,0,0,P
148 (1),Sep 20,CIN,@,MIL,L,4-8,,4,0.2,1,0,0,1,0,P
151 (2),Sep 23,CIN,@,STL,L,2-10,,3,0.0,0,0,0,0,0,P
154 (2),Sep 26,CIN,,NYM,L,2-10,,11,3.0,0,0,0,0,0,P
158 (3),Sep 30,CIN,,CHC,L,3-10,GF,7,1.0,0,0,0,0,0,P
160 (1),Oct 2,CIN,@,PIT,L,4-6,GF,6,1.1,0,0,0,0,0,P
