1,3,Apr 16,DET,,CLE,W,5-1,CG,W(1-0),99,9.0,6,1,0,4,3,0,0,0.00,37,72,,,,32,2,1,,,,
2,6,Apr 22,DET,@,CLE,W,5-2,CG,W(2-0),5,9.0,7,2,0,2,3,0,0,0.00,34,70,,,,30,1,0,,,,
3,13,May 1,DET,@,CHW,L,3-4,GS-,,8,7.0,3,2,0,0,1,0,0,0.00,23,68,,,,23,,,,,,
4,16,May 5,DET,,CHW,W,5-3,,S(1),3,2.0,2,0,0,0,0,0,0,0.00,9,,,,,9,,,,,,
5,18,May 7,DET,,CHW,L,3-5,GS-,L(2-1),1,7.0,11,5,0,2,4,0,0,0.00,34,47,,,,32,,,,,,
6,22,May 12,DET,@,NYY,L,3-5,GS-,,4,1.1,3,2,0,0,0,0,0,0.00,7,44,,,,7,,,,,,
7,26,May 17,DET,@,BOS,L,6-8,,L(2-2),4,4.0,7,3,0,2,1,0,0,0.00,22,,,,,20,,,,,,
8,27,May 19,DET,@,PHA,W,14-2,,S(2),1,2.0,2,1,0,1,1,0,0,0.00,9,,,,,8,,,,,,
9,29,May 21,DET,@,PHA,L,4-7,,,1,1.2,2,2,0,0,2,0,0,0.00,7,,,,,7,,,,,,
10,35,May 28,DET,,CHW,W,9-1,,S(3),6,2.0,0,0,0,1,0,0,0,0.00,8,,,,,7,,,,,,
11,38,May 30(2),DET,@,SLB,W,9-4,GS-,,1,4.0,7,4,0,1,1,0,0,0.00,21,40,,,,20,,,,,,
