1,34 (33),May 3,OAK,@,PIT,W,14-1,7-GF,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,9,.00,0.000,-0.44,0.00,0.00,PH CF
2,35,May 4,OAK,@,PIT,L,4-6,7-9,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.333,.667,1.000,9,.94,0.068,0.61,5.00,6.00,PH CF
3,36,May 5,OAK,@,PIT,L,3-5,12-12,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.250,.250,.500,.750,8,2.27,-0.057,-0.22,0.00,0.00,PH
4,54 (17),May 26,OAK,,SEA,W,7-1,CG,4,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.143,.250,.286,.536,8,.36,-0.018,-0.72,,,RF
