98 (97),Jul 31,DET,,WSH,W,4-1,CG,0,9.0,1,0,0,1,0,
99,Aug 1,DET,,WSH,L,3-6,CG,0,9.0,4,0,0,4,0,
100,Aug 2,DET,,WSH,L,0-4,GS,0,8.0,0,0,0,0,0,
101,Aug 3,DET,,WSH,W,2-1,CG,0,9.0,1,0,0,1,0,
105 (3),Aug 7,DET,,NYY,W,7-0,GF,0, ,0,0,0,0,0,
