1,145 (144),Sep 23,PIT,,BRO,L,4-5,CG,5,5,0,0,0,0,0,0,0,0,1,0,0,,,,0,,.000,.000,.000,.000,2,CF
2,148 (2),Sep 28,PIT,,PHI,L,0-4,0-GF,1,1,0,0,0,0,0,0,0,,0,0,0,,,,0,,.000,.000,.000,.000,9,PH
