93,1,Apr 14,CHW,@,DET,L,0-2,CG,3,3,0,0,0,0,0,0,0,,1,0,0,,,,0,,.000,.000,.000,.000,6,2B
94,2,Apr 15,CHW,@,DET,L,1-3,CG,4,4,0,0,0,0,0,0,0,,1,0,0,,,,0,,.000,.000,.000,.000,6,2B
95,3,Apr 16,CHW,@,DET,L,2-10,CG,4,4,0,0,0,0,0,,0,,0,0,0,,,,0,,.000,.000,.000,.000,6,2B
96,4,Apr 17,CHW,@,SLB,W,3-1,CG(10),4,4,0,0,0,0,0,,0,,0,0,0,,,,0,,.000,.000,.000,.000,6,2B
97,5,Apr 18,CHW,@,SLB,L,2-6,CG,4,4,0,2,0,0,0,,0,,0,0,0,,,,1,,.105,.105,.105,.211,6,2B
98,6,Apr 22,CHW,,DET,W,3-1,CG,4,4,1,1,0,0,0,,0,,1,0,0,,,,0,,.130,.130,.130,.261,5,2B
99,7,Apr 23,CHW,,DET,L,1-3,CG(11),4,3,0,1,0,0,0,,0,,1,0,1,,,,1,,.154,.154,.154,.308,5,2B
100,8,Apr 24,CHW,,DET,W,3-1,CG,3,1,0,0,0,0,0,,0,,0,0,2,,,,0,,.148,.148,.148,.296,5,2B
101,9,Apr 25,CHW,,SLB,W,1-0,CG,4,4,0,0,0,0,0,,0,,0,0,0,,,,0,,.129,.129,.129,.258,5,2B
102,10,Apr 26,CHW,,SLB,W,1-0,CG,3,3,0,0,0,0,0,,0,,1,0,0,,,,0,,.118,.118,.118,.235,5,2B
103,11,Apr 27,CHW,,SLB,W,1-0,CG,4,3,0,0,0,0,0,,0,,0,0,1,,,,0,,.108,.108,.108,.216,5,2B
104,12,May 2,CHW,,DET,L,5-6,CG,4,3,2,1,1,0,0,,1,,0,0,0,,,,0,,.125,.146,.150,.296,5,2B
105,13,May 3,CHW,,DET,W,4-0,CG,4,3,0,0,0,0,0,,0,,1,0,1,,,,0,,.116,.136,.140,.276,5,2B
106,14,May 4,CHW,@,CLE,L,2-10,CG,4,4,0,0,0,0,0,,0,,0,0,0,,,,0,,.106,.125,.128,.253,5,2B
107,15,May 5,CHW,@,CLE,W,6-5,CG,4,3,1,2,1,0,0,,0,,0,0,1,,,,0,,.140,.157,.180,.337,5,2B
108,16,May 6,CHW,@,CLE,L,1-2,CG,4,4,0,1,1,0,0,,0,,1,0,0,,,,0,,.148,.164,.204,.367,5,2B
109,17,May 8,CHW,@,CLE,L,4-8,CG,4,4,2,1,0,0,0,,0,,0,0,0,,,,0,,.155,.169,.207,.376,5,2B
110,18,May 9 (1),CHW,,CLE,W,4-2,CG,4,4,1,1,0,0,0,,0,,0,0,0,,,,0,,.161,.175,.210,.384,5,2B
111,19,May 9 (2),CHW,,CLE,L,1-4,CG,4,2,0,1,0,0,0,,2,,0,0,0,,,,0,,.172,.209,.219,.428,5,2B
112,20,May 10,CHW,,WSH,W,1-0,CG(11),4,4,0,0,0,0,0,,0,,1,0,0,,,,0,,.162,.197,.206,.403,5,2B
113,21,May 11,CHW,,WSH,W,5-3,CG,5,4,0,0,0,0,0,,1,,1,0,0,,,,0,,.153,.197,.194,.392,5,2B
