37,2,Apr 4,TEX,,CLE,L,3-4,7-7,,99,0.1,1,0,0,1,1,0,0,0.00,3,16,9,3,2,1,0,0,0,0,,1,1,0,0,0,2,0,0,0,0,0,0,1.80,-0.114,-0.89,1.55,4.00, 7t 1-- 1 out d1, 7t 12- 2 out d2
38,5,Apr 8,TEX,,OAK,L,1-6,8-8,,3,0.2,1,2,0,0,2,1,0,0.00,4,12,9,1,4,0,2,0,0,0,,1,1,0,0,0,4,0,0,0,0,0,1,.91,-0.196,-2.27,4.90,8.00, 8t -2- 1 out d1, 8t 3 out d4
39,10,Apr 14,TEX,@,SEA,L,1-2,7-7,,5,0.1,0,0,0,0,0,0,0,0.00,1,2,2,1,0,0,1,0,1,0,,2,0,0,0,0,1,0,0,0,0,0,0,1.32,0.041,0.59,0.75,1.00, 7b 12- 0 out d1, 7b 12- 1 out d1
40,14,Apr 18,TEX,@,OAK,L,2-4,6-7,,3,1.1,3,0,0,0,1,0,0,0.00,7,28,17,4,5,2,4,1,1,0,,2,1,0,0,0,7,0,0,0,0,0,0,.82,-0.052,0.01,3.20,7.00, 6b 1-3 2 out d1, 7b 3 out d2
41,16,Apr 20,TEX,,KCR,W,1-0,12-GF(13),W(1-0),1,2.0,0,0,0,1,3,0,0,0.00,7,27,14,6,3,3,0,0,0,0,,0,0,1,0,0,6,0,0,0,0,0,0,2.59,0.300,1.13,13.90,27.00,12t --- 0 out tie,13t end tie
42,20,Apr 24,TEX,,MIN,L,2-3,8-9,,3,1.0,0,0,0,2,0,0,0,0.00,5,23,13,4,3,0,3,1,0,0,,1,0,0,0,0,3,0,0,0,0,0,0,.91,0.052,0.57,1.05,3.00, 8t 1-- 2 out d1, 9t 1-- 2 out d1
43,26,May 1,TEX,@,HOU,L,2-6,7-GF(8),,6,1.2,2,0,0,0,2,0,0,0.00,7,25,18,5,5,2,3,1,0,0,,1,1,0,0,0,7,1,0,0,0,0,0,.17,-0.014,0.14,6.55,11.00, 7b -2- 1 out d3, 8b end d 4
44,27,May 2,TEX,@,HOU,L,7-8,7-7,H(1),0,0.1,0,0,0,0,1,0,0,0.00,1,4,3,1,2,0,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,2.05,0.048,0.29,2.75,4.00, 7b 1-- 1 out a2, 7b 1-- 2 out a2
45,29,May 4,TEX,@,HOU,W,10-4,6-6,H(2),1,0.1,0,0,0,1,0,0,0,0.00,2,6,2,0,0,0,1,0,0,0,,3,1,0,0,0,0,0,0,0,0,1,0,2.76,-0.020,-0.24,0.15,1.00, 6b 123 0 out a4, 6b 123 1 out a3
46,31,May 6,TEX,@,SEA,L,2-8,7-7,,1,1.0,3,3,3,1,0,0,0,3.00,7,21,12,4,2,2,4,2,1,0,,3,3,0,0,0,5,1,0,0,0,1,0,.70,-0.088,-3.65,-6.15,-6.00, 7b 123 0 out d1, 7b 3 out d7
47,39,May 14,TEX,,OAK,W,6-4,7-7,W(2-0),7,0.2,1,0,0,0,1,0,0,2.79,3,6,5,1,2,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.51,0.023,0.30,6.90,17.00, 7t --- 1 out d2, 7t 3 out d2
48,46,May 23,TEX,@,BOS,L,6-11,6-6,,8,0.2,0,1,1,1,1,0,0,3.48,3,11,5,2,2,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.42,0.018,0.30,0.90,2.00, 6b --- 0 out d2, 6b 1-- 2 out d2
49,48,May 25,TEX,@,BOS,L,2-6,6-6,,1,0.0,0,0,0,1,0,0,1,3.48,2,11,3,2,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,.69,-0.050,-1.02,-1.20,0.00, 6b --- 0 out d2, 6b 12- 0 out d2
50,59,Jun 7,TEX,,NYM,L,3-4,8-8,,12,0.2,0,0,0,1,0,0,0,3.27,2,8,3,2,0,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,1,0,0,.93,0.035,0.58,0.90,2.00, 8t 1-- 1 out d2, 8t 3 out d2
51,66,Jun 16,TEX,,SEA,W,10-4,6-6,,8,0.1,0,0,0,0,0,0,0,3.18,1,4,3,1,1,0,1,0,1,0,,1,0,0,0,0,1,0,0,0,0,0,0,.33,0.010,0.26,0.75,1.00, 6t 1-- 2 out a5, 6t 3 out a5
52,68,Jun 18,TEX,,SEA,L,3-7,8-8,,1,0.2,1,2,1,2,1,0,0,3.75,6,33,17,7,4,2,1,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,1,.53,-0.107,-1.97,-0.30,2.00, 8t --- 0 out d2, 8t 1-3 2 out d4
53,69,Jun 19,TEX,,TOR,L,6-7,7-7,H(3),0,0.1,0,0,0,0,1,0,0,3.65,1,5,3,1,2,0,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,1.60,0.047,0.26,2.75,4.00, 7t 1-- 2 out a1, 7t 3 out a1
54,71,Jun 21,TEX,,TOR,L,5-7,7-8,,1,1.2,2,0,0,1,2,0,0,3.21,7,33,18,6,4,1,3,2,0,0,,0,0,1,0,0,6,0,0,0,0,0,0,.64,0.042,0.59,5.95,11.00, 7t --- 0 out d2, 8t 1-3 2 out d2
55,76,Jun 26,TEX,@,CLE,L,9-15,5-5,,4,0.2,1,0,0,1,0,0,0,3.07,4,16,11,5,0,1,2,2,0,0,,3,3,0,0,0,3,0,0,0,0,0,0,2.36,-0.072,-1.36,0.30,2.00, 5b 123 1 out a5, 5b 3 out a2
