10 (9),Apr 11,TOR,@,TEX,W,9-8,,7,2.0,0,0,0,0,0,P
12 (1),Apr 13,TOR,@,KCR,L,1-11,,15,3.0,1,0,0,1,0,P
16 (3),Apr 18,TOR,,CHW,W,9-4,,5,1.1,0,0,0,0,0,P
19 (2),Apr 21,TOR,,NYY,L,3-5,GF,2,0.2,0,0,0,0,0,P
20,Apr 22,TOR,,NYY,L,1-9,GF,5,1.0,0,0,0,0,0,P
22 (1),Apr 25,TOR,@,CHW,L,1-8,GF,3,1.0,0,0,0,0,0,P
27 (4),Apr 30,TOR,,KCR,L,4-7,GF,1,0.1,0,0,0,0,0,P
28,May 1,TOR,@,OAK,L,2-5,,9,1.2,0,0,1,1,0,P
32 (3),May 5,TOR,@,ANA,W,13-11,,8,1.0,0,0,0,0,0,P
126 (93),Aug 18,TOR,@,OAK,L,5-10,,9,2.0,0,0,0,0,0,P
127,Aug 19,TOR,@,SEA,W,16-2,,3,1.0,0,0,0,0,0,P
129 (1),Aug 21,TOR,@,ANA,W,9-4,,3,0.2,0,0,0,0,0,P
131 (1),Aug 23,TOR,@,ANA,L,2-3,,4,0.1,0,0,0,0,0,P
134 (2),Aug 26,TOR,,KCR,L,2-7,GF,2,0.1,0,0,0,0,0,P
135,Aug 27,TOR,,KCR,W,11-1,GF,1,0.1,0,0,0,0,0,P
141 (5),Sep 3,TOR,,BOS,W,4-3,,10,2.1,0,1,0,1,0,P
144 (2),Sep 6,TOR,,BOS,W,8-7,,4,1.0,0,0,0,0,0,P
146 (1),Sep 9,TOR,,CLE,L,3-6,GF,7,1.0,0,0,0,0,0,P
147,Sep 10,TOR,@,NYY,L,5-8,,4,1.1,0,0,0,0,0,P
148,Sep 11,TOR,@,NYY,W,5-4,,6,1.1,0,0,0,0,0,P
150 (1),Sep 13,TOR,@,NYY,W,5-3,,1,0.1,0,0,0,0,0,P
152 (1),Sep 15,TOR,@,CLE,L,5-7,,5,1.1,1,0,0,1,0,P
156 (3),Sep 19,TOR,@,TBD,L,5-7,GF,4,0.2,0,0,0,0,0,P
157,Sep 20,TOR,@,TBD,W,7-5,,4,1.0,0,1,0,1,0,P
162 (4),Sep 26,TOR,,DET,W,5-4,,7,1.2,0,1,0,1,0,P
