1,2,Apr 27,TEX,,CLE,L,6-11,7-GF,,99,3.0,2,1,1,2,3,1,0,3.00,13,58,33,12,4,4,4,1,0,0,,0,0,0,0,0,11,0,0,0,0,0,0,.04,-0.004,0.76, 7t --- 0 out d8, 9t end d 5
2,4,Apr 29,TEX,,CLE,W,6-5,7-7,,1,0.1,1,0,0,0,0,0,0,2.70,2,6,3,0,0,1,1,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,1.77,0.005,0.05, 7t 1-- 1 out tie, 7t 1-3 2 out tie
3,7,May 2,TEX,,SEA,L,3-15,8-GF,,2,1.1,5,5,5,3,0,0,0,11.57,12,35,18,4,2,3,6,4,0,0,,3,2,0,0,0,9,0,0,0,0,0,0,.02,-0.008,-5.58, 8t 123 2 out d6, 9t end d13
4,11,May 7,TEX,@,OAK,L,6-8,4-6,,4,1.2,2,3,3,1,2,1,0,12.79,8,39,21,4,4,1,4,1,0,0,,2,1,0,0,0,7,0,0,0,0,0,0,.45,-0.049,-1.67, 4b 1-3 1 out d2, 6b 1-- 0 out d5
5,13,May 9,TEX,@,CAL,L,2-3,8-GF(8),,1,0.2,0,0,0,1,0,0,0,11.57,3,10,4,1,1,2,0,0,0,0,,1,0,0,0,0,2,0,0,1,0,0,0,1.01,0.049,0.73, 8b -2- 1 out d1, 8b end d 1
6,16,May 12,TEX,,DET,L,1-6,4-7,,2,3.1,4,2,2,2,0,0,0,9.58,15,43,27,6,2,6,7,4,1,0,,2,1,0,1,1,13,1,0,0,0,0,0,.50,0.016,0.10, 4t 12- 0 out d3, 7t 1-3 1 out d5
7,18,May 14,TEX,,DET,L,3-8,9-GF,,1,0.2,1,0,0,0,0,0,0,9.00,3,9,6,2,1,1,2,1,0,0,,3,2,0,0,0,3,0,0,0,0,0,0,.18,-0.014,-0.33, 9t 123 1 out d3, 9t end d 5
8,59,Jun 29,TEX,,CAL,L,4-20,5-GF,,45,4.1,8,6,5,2,2,0,0,9.39,24,75,46,10,8,11,9,5,0,0,,2,0,0,0,0,21,1,1,0,0,1,1,.00,0.000,-3.11, 5t 1-3 2 out d10, 9t end d16
9,63,Jul 3,TEX,@,CLE,L,1-9,8-GF(8),,3,1.0,1,0,0,0,0,0,0,8.82,4,7,6,1,0,1,3,1,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.00,0.000,0.58, 8b --- 0 out d9, 8b end d 9
10,68,Jul 8,TEX,,NYY,L,3-7,8-GF,,4,2.0,0,0,0,0,2,0,0,7.85,6,27,15,4,2,0,4,2,1,0,,2,1,0,0,0,6,0,0,0,0,0,0,.33,0.005,1.20, 8t 12- 0 out d3, 9t end d 4
11,124,Sep 8,TEX,@,MIL,L,1-10,6-6,,61,0.2,1,1,1,1,0,0,1,8.05,5,17,7,4,0,1,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.08,-0.001,-0.24, 6b --- 0 out d6, 6b 123 2 out d6
12,135,Sep 20,TEX,@,SEA,L,3-11,6-7,,11,1.2,1,0,0,0,1,0,0,7.40,6,25,17,5,1,3,2,1,0,0,,2,0,0,0,0,6,0,0,0,0,0,0,.01,0.001,1.56, 6b 12- 1 out d9, 7b 3 out d8
