35,41,May 22,CLE,@,BOS,L,2-5,7-GF(8),,99,2.0,1,0,0,0,2,0,0,0.00,7,21,14,4,4,2,3,2,0,0,,0,0,0,0,0,7,1,0,0,0,0,0,.14,0.022,1.08,,, 7b --- 0 out d3, 8b end d 3
36,42,May 23(1),CLE,@,CHW,L,6-7,7-GF(8),,0,1.1,1,0,0,3,2,0,0,0.00,8,33,16,5,3,1,2,1,0,0,,3,1,0,0,0,5,1,0,1,0,0,0,.72,0.012,0.25,,, 7b 123 2 out d3, 8b end d 1
37,47,May 28,CLE,,BAL,W,11-4,9-GF,,4,1.0,0,0,0,0,2,0,0,0.00,3,16,11,3,2,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.01,0.001,0.55,,, 9t --- 0 out a7, 9t end a 7
38,48,May 29,CLE,,BAL,L,4-6,8-8,,0,1.0,1,0,0,0,1,0,0,0.00,4,11,8,3,1,2,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.80,0.058,0.55,,, 8t --- 0 out d1, 8t 3 out d1
39,49,May 30,CLE,,TEX,L,2-9,4-4,,0,0.1,1,1,1,0,0,1,0,1.59,2,5,3,0,1,0,2,1,0,0,,2,2,0,0,0,2,0,0,0,0,0,0,.19,-0.041,-2.47,,, 4t 1-3 2 out d6, 4t 3 out d9
40,52,Jun 2,CLE,,KCR,W,5-4,6-6,,2,1.0,1,1,1,0,2,1,0,2.70,4,17,12,3,3,1,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.67,-0.075,-0.45,,, 6t --- 0 out d1, 6t 3 out d2
41,55,Jun 5,CLE,,KCR,W,7-0,9-GF,,2,1.0,1,0,0,0,3,0,0,2.35,4,18,15,2,4,1,0,0,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.04,0.001,0.55,,, 9t --- 0 out a7, 9t end a 7
42,88,Jul 10,CLE,,NYY,L,7-11,4-5,,34,0.1,2,2,2,0,0,0,0,4.50,3,12,7,1,1,1,2,1,0,0,,2,0,0,0,0,3,1,0,0,0,0,0,.54,-0.031,-1.04,,, 4t 12- 2 out d4, 5t -23 0 out d4
43,91,Jul 17,CLE,@,MIN,W,6-1,8-GF,,6,1.1,0,0,0,0,1,0,0,3.86,4,16,10,4,2,2,1,1,0,0,,1,0,0,0,0,4,0,0,0,0,0,0,.19,0.021,0.83,,, 8b -2- 2 out a4, 9b end a 5
44,94,Jul 20,CLE,@,KCR,W,11-4,8-8,,2,0.2,5,4,4,0,0,0,0,7.20,7,22,16,4,1,4,3,1,0,0,,0,0,0,0,0,7,3,0,0,0,0,0,.02,-0.002,-3.81,,, 8b --- 0 out a11, 8b -2- 2 out a7
45,95,Jul 22,CLE,@,BAL,L,1-5,8-GF(8),,1,1.0,1,0,0,0,0,0,0,6.55,3,9,4,1,0,1,2,2,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.08,0.003,0.52,,, 8b --- 0 out d4, 8b end d 4
46,98,Jul 26,CLE,,WSN,W,7-6,8-9,,3,1.1,1,1,0,0,1,0,0,5.84,5,16,11,4,3,2,2,0,1,0,,0,0,0,0,0,5,1,0,0,0,0,0,.57,0.017,0.38,,, 8t --- 0 out d2, 9t -2- 1 out d1
47,102,Jul 31,CLE,,OAK,W,8-0,9-GF,,4,1.0,0,0,0,0,0,0,0,5.40,3,9,6,3,0,1,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.01,0.001,0.55,,, 9t --- 0 out a8, 9t end a 8
48,103,Aug 1,CLE,,MIN,L,5-12,3-3,,0,1.0,2,2,2,1,0,0,0,6.28,6,16,10,2,0,1,4,2,1,0,,1,1,0,0,0,5,0,1,0,0,0,0,1.05,-0.148,-2.05,,, 3t 1-- 0 out d2, 3t 3 out d5
49,104,Aug 2,CLE,,MIN,L,6-10,9-GF,,0,1.0,1,2,2,1,1,1,0,7.04,5,19,9,3,2,1,2,1,0,0,,0,0,1,0,0,4,0,0,0,0,0,0,.39,-0.060,-1.45,,, 9t --- 0 out d2, 9t end d 4
50,143,Sep 12,CLE,@,CHW,L,4-11,8-GF(8),,40,1.0,2,2,2,1,1,1,0,7.71,6,24,14,5,3,1,3,2,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.01,-0.004,-1.51,,, 8b --- 0 out d5, 8b end d 7
51,149,Sep 18,CLE,,DET,L,5-9,9-GF,,5,0.2,0,0,0,1,0,0,0,7.41,3,15,8,2,0,1,1,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.08,0.003,0.30,,, 9t --- 1 out d4, 9t end d 4
52,154,Sep 24,CLE,,CHW,L,1-8,8-8,,5,0.1,3,4,3,0,1,0,0,8.83,5,17,11,4,2,3,1,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,1,.36,-0.064,-2.68,,, 8t --- 0 out d3, 8t 1-3 1 out d5
53,157,Sep 27,CLE,@,DET,L,0-12,8-GF(8),,2,1.0,4,3,3,0,0,1,0,9.82,6,21,14,0,4,3,2,1,0,1,,0,0,0,0,0,6,1,1,0,1,0,0,.00,0.000,-2.49,,, 8b --- 0 out d9, 8b end d12
