377,38,Jun 6,NYG,@,CHC,L,6-8,CG,4,4,0,0,0,0,0,0,0,,1,0,0,,,,0,,.262,.325,.336,.661,4,RF
378,39,Jun 8,NYG,@,CHC,W,9-3,CG,5,5,1,2,1,0,0,2,0,,0,0,0,,,,0,,.266,.327,.344,.672,4,RF
379,40,Jun 9,NYG,@,STL,L,10-11,CG,5,5,1,3,0,0,0,,0,,0,0,0,,,,0,,.277,.335,.352,.687,4,LF
380,41,Jun 10,NYG,@,STL,L,2-13,CG,4,4,1,2,0,0,0,1,0,,0,0,0,,,,1,,.282,.339,.356,.695,4,LF
381,42,Jun 11,NYG,@,STL,W,3-2,CG,4,2,0,1,0,0,0,2,1,,0,0,1,,,,0,,.285,.344,.358,.702,4,LF
382,43,Jun 12,NYG,@,STL,L,3-8,CG,4,3,0,0,0,0,0,1,0,,0,0,1,,,,0,,.280,.339,.351,.690,4,LF
383,44,Jun 14,NYG,@,CIN,T,5-5,CG(10),5,3,2,0,0,0,0,0,2,,1,0,0,,,,0,,.275,.340,.345,.685,4,LF
384,45,Jun 15,NYG,@,CIN,W,8-0,CG,5,4,1,0,0,0,0,1,1,,1,0,0,,,,0,,.269,.337,.337,.674,4,LF
385,46,Jun 16,NYG,@,CIN,W,5-3,CG(12),6,6,0,0,0,0,0,0,0,,1,0,0,,,,0,,.260,.327,.326,.653,4,LF
386,47,Jun 17,NYG,@,PIT,W,3-1,CG,4,4,0,1,0,0,0,0,0,,0,0,0,,,,0,,.259,.325,.324,.649,4,RF
387,48,Jun 18,NYG,@,PIT,L,5-7,CG,4,3,1,1,0,0,0,0,0,,0,1,0,,,,0,,.261,.329,.324,.653,4,RF
388,49,Jun 19,NYG,@,PIT,L,0-4,CG,4,4,0,0,0,0,0,0,0,,0,0,0,,,,0,,.255,.322,.318,.640,4,RF
389,50,Jun 22,NYG,,PHI,T,1-1,CG,4,4,0,0,0,0,0,0,0,,1,0,0,,,,0,,.250,.316,.311,.628,4,RF
