92,3,Apr 14,DET,,CLE,W,3-2,GS-,W(1-0),99,7.0,7,2,2,3,5,0,0,2.57,31,57,,,,26,,,,,0,
93,8,Apr 20,DET,@,CLE,W,7-4,CG,W(2-0),5,9.0,4,4,1,5,3,0,0,1.69,36,67,,,,30,2,0,,,0,
94,16,May 7,DET,,CLE,L,3-4,GS-,L(2-1),16,7.0,4,4,2,1,1,0,1,1.96,29,57,,,,24,,,,,0,
95,24,May 14,DET,,WSH,W,3-2,CG,W(3-1),6,14.0,9,2,1,3,6,0,0,1.46,52,91,,,,46,3,1,,,0,
96,29,May 19,DET,,NYY,T,9-9,,,4,4.0,4,2,2,1,0,0,0,1.76,16,,,,,15,,,,,0,
97,30,May 20,DET,,NYY,W,1-0,SHO,W(4-1),0,9.0,5,0,0,1,7,0,0,1.44,32,83,,,,31,1,0,,,0,
98,33,May 26,DET,,PHA,W,11-8,,,5,0.1,2,1,1,1,0,0,0,1.61,4,,,,,3,,,,,0,
99,35,May 30(1),DET,@,CLE,W,4-1,CG,W(5-1),3,9.0,6,1,0,2,4,0,0,1.37,36,75,,,,33,0,0,,,0,
100,39,Jun 3,DET,,NYY,W,5-4,GS-,,3,5.0,7,4,4,1,0,0,0,1.82,23,36,,,,22,,,,,0,
101,42,Jun 5(2),DET,@,NYY,W,6-4,CG,W(6-1),1,9.0,9,4,1,2,3,0,0,1.72,36,60,,,,34,3,0,,,0,
102,44,Jun 8,DET,@,BOS,W,7-4,,S(1),2,1.2,1,1,1,1,0,0,0,1.80,7,,,,,5,,,,,0,
103,48,Jun 15,DET,@,WSH,W,4-3,,S(2),6,2.0,0,0,0,0,2,0,0,1.75,6,,,,,6,,,,,0,
104,49,Jun 16,DET,@,WSH,W,3-2,,S(3),0,2.0,1,0,0,0,0,0,0,1.71,7,,,,,7,,,,,0,
105,52,Jun 20,DET,,SLB,L,2-3,,,3,2.0,1,0,0,0,1,0,0,1.67,6,,,,,6,,,,,0,
106,53,Jun 21,DET,,SLB,W,5-4,,W(7-1),0,1.0,1,1,1,1,1,0,0,1.76,5,,,,,4,,,,,0,
107,55,Jun 22(2),DET,,SLB,W,3-2,CG,W(8-1),0,9.0,5,2,2,5,1,0,1,1.78,35,65,,,,27,2,0,,,0,
108,61,Jun 28,DET,@,CHW,W,6-5,GS-,,5,6.0,9,5,5,3,2,0,0,2.13,28,33,,,,25,,,,,0,
109,65,Jul 1(1),DET,@,SLB,W,5-0,SHO,W(9-1),2,9.0,4,0,0,1,2,0,0,1.95,32,80,,,,30,2,0,,,0,
110,70,Jul 4(2),DET,,CHW,L,3-4,,,2,2.0,1,0,0,0,2,0,0,1.92,7,,,,,7,,,,,0,
111,71,Jul 5,DET,,CHW,W,11-6,,S(4),0,1.0,0,0,0,1,0,0,0,1.90,4,,,,,3,,,,,0,
112,73,Jul 8,DET,,WSH,L,5-10,GS-,L(9-2),2,3.0,5,4,3,3,0,0,0,2.09,14,32,,,,11,,,,,0,
113,76,Jul 10,DET,,WSH,W,5-4,CG,W(10-2),1,9.0,8,4,3,4,4,0,0,2.16,38,57,,,,33,1,1,,,0,
114,80,Jul 14,DET,,BOS,L,1-4,GS-,L(10-3),3,8.0,8,4,4,3,2,0,1,2.30,34,49,,,,29,,,,,0,
115,84,Jul 18(1),DET,,PHA,W,4-1,CG,W(11-3),3,9.0,5,1,1,4,3,0,1,2.22,37,72,,,,31,1,0,,,0,
116,90,Jul 22,DET,,NYY,L,5-7,GS-,,3,11.0,10,5,4,3,4,0,0,2.30,43,60,,,,40,,,,,0,
117,95,Jul 28(1),DET,@,PHA,W,5-3,GS-,,5,4.0,7,3,2,0,2,0,0,2.35,18,40,,,,18,,,,,0,
118,96,Jul 28(2),DET,@,PHA,W,5-4,,W(12-3),-1,4.0,2,0,0,2,2,0,0,2.29,15,,,,,13,,,,,0,
119,98,Jul 31,DET,@,WSH,W,8-4,,S(5),2,2.0,2,0,0,2,0,0,0,2.26,8,,,,,6,,,,,0,
120,99,Aug 1,DET,@,WSH,L,4-5,,L(12-4),0,2.1,5,1,1,2,0,0,0,2.29,14,,,,,12,,,,,0,
121,102,Aug 4,DET,@,NYY,W,3-0,SHO,W(13-4),2,9.0,1,0,0,3,4,0,0,2.17,33,86,,,,30,0,0,,,0,
122,106,Aug 10(1),DET,@,BOS,L,4-5,,L(13-5),5,1.2,2,4,4,3,1,0,0,2.35,9,,,,,6,,,,,0,
123,111,Aug 13(1),DET,,SLB,L,5-10,GS-,L(13-6),2,1.0,1,3,3,3,0,0,0,2.50,6,36,,,,3,,,,,0,
124,112,Aug 13(2),DET,,SLB,W,7-6,,S(6),-1,1.0,0,0,0,0,0,0,0,2.48,2,,,,,2,,,,,0,
125,113,Aug 14,DET,,SLB,L,4-6,GS-,L(13-7),0,4.0,4,3,3,3,3,0,0,2.58,19,42,,,,16,,,,,0,
126,117,Aug 21,DET,,NYY,L,1-3,CG,L(13-8),6,10.0,10,3,3,5,1,0,0,2.59,43,56,,,,37,0,0,,,0,
127,122,Aug 26,DET,,BOS,L,3-6,,,4,1.0,1,0,0,0,0,0,0,2.57,4,,,,,4,,,,,0,
128,125,Aug 30,DET,@,CLE,W,4-3,GS-,W(14-8),3,10.0,11,3,0,5,2,0,0,2.44,41,61,,,,32,,,,,0,
129,131,Sep 3(2),DET,@,CHW,L,8-14,GS-,,3,2.0,5,5,5,2,0,0,1,2.64,13,24,,,,10,,,,,0,
