98 (97),Jul 22,LAD,@,STL,L,3-4,,7,2.0,0,0,0,0,0,P
110 (11),Aug 6,LAD,,BOS,W,3-0,,7,2.0,0,0,0,0,0,P
113 (2),Aug 9,LAD,,PHI,W,9-3,,3,1.0,0,0,0,0,0,P
114,Aug 10,LAD,,PHI,L,2-6,,4,1.0,1,0,0,1,0,P
117 (2),Aug 14,LAD,,PIT,L,3-11,,7,2.0,0,0,0,0,0,P
119 (1),Aug 17,LAD,@,PHI,W,7-2,,5,1.1,0,0,0,0,0,P
120,Aug 18,LAD,@,PHI,L,4-5,,4,0.2,0,0,0,0,0,P
122 (1),Aug 20,LAD,@,CIN,L,1-11,,4,1.0,0,0,0,0,0,P
124 (1),Aug 22,LAD,@,CIN,W,18-9,,4,1.0,0,0,0,0,0,P
127 (2),Aug 25,LAD,,SFG,L,0-4,,6,1.0,0,0,0,0,0,P
130 (2),Aug 28,LAD,,CHC,W,1-0,,5,1.1,0,0,0,0,0,P
131,Aug 29,LAD,@,COL,L,1-8,,4,1.0,0,0,0,0,0,P
133 (1),Aug 31 (2),LAD,@,COL,W,10-8,,6,2.0,0,1,0,1,0,P
134,Sep 2,LAD,,SDP,L,2-4,,3,1.0,0,0,0,0,0,P
136 (1),Sep 4,LAD,,SDP,W,7-4,,4,1.0,0,0,0,0,0,P
139 (2),Sep 7,LAD,,ARI,W,3-1,,1,0.1,0,0,0,0,0,P
141 (1),Sep 10,LAD,@,MIA,W,5-0,,4,0.2,0,0,0,0,0,P
143 (1),Sep 12,LAD,@,NYY,W,8-2,,2,0.2,0,0,0,0,0,P
145 (1),Sep 14,LAD,@,NYY,W,2-0,,3,1.0,0,0,0,0,0,P
147 (1),Sep 16,LAD,@,ARI,W,3-2,,1,0.1,0,0,0,0,0,P
150 (2),Sep 19,LAD,,SFG,W,2-1,,4,1.1,0,0,0,0,0,P
151,Sep 20,LAD,,SFG,L,0-2,,3,0.1,0,0,0,0,0,P
154 (2),Sep 23,LAD,,COL,W,5-2,,3,0.2,0,0,0,0,0,P
157 (2),Sep 27,LAD,@,SDP,L,1-7,,3,0.2,0,0,0,0,0,P
162 (4),Oct 2,LAD,@,SFG,L,1-7,,4,1.0,0,0,0,0,0,P
