7,3 (2),Apr 16,BSN,@,PHI,L,5-7,8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9,,,,P
8,6 (2),Apr 20,BSN,@,BRO,W,8-4,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,.000,.000,.000,.000,9,.08,-0.002,-0.24,P
9,7,Apr 21,BSN,@,BRO,T,6-6,8-12,2,2,0,1,0,0,0,0,0,0,1,0,0,,0,0,0,0,.333,.333,.333,.667,9,1.86,0.046,0.28,P
10,11 (3),Apr 25,BSN,@,NYG,L,5-11,7-8,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.333,.333,.333,.667,9,,,,P
11,19 (7),May 6,BSN,@,CHC,L,6-8,8-9,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.333,.333,.333,.667,9,,,,P
12,20,May 7,BSN,@,CHC,L,8-9,10-GF(10),0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.333,.333,.333,.667,9,,,,P
13,24 (3),May 12,BSN,,PIT,T,6-6,5-6,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.333,.333,.333,.667,9,,,,P
14,28 (3),May 16,BSN,,STL,L,5-7,3-5,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,.250,.250,.250,.500,9,.21,-0.005,-0.10,P
15,36 (7),May 24,BSN,@,BRO,L,2-11,7-7,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.250,.250,.250,.500,9,,,,P
16,42 (5),May 29,BSN,@,NYG,L,0-15,2-2,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.250,.250,.250,.500,9,,,,P
17,62 (19),Jun 19,BSN,,CIN,L,4-8,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.250,.250,.250,.500,9,,,,P
