2 (1),Apr 1,TOR,@,TBR,W,4-2,,5,1.0,0,0,0,0,0,P
5 (2),Apr 4,TOR,,NYY,L,3-7,,5,1.0,0,1,0,1,0,P
7 (1),Apr 6,TOR,,NYY,L,4-6,,3,1.0,0,0,0,0,0,P
8,Apr 8,TOR,,HOU,W,5-2,,2,0.2,0,0,0,0,0,P
9,Apr 9,TOR,,HOU,W,7-3,,1,0.1,0,1,0,1,0,P
12 (2),Apr 12,TOR,@,BAL,L,1-2,,4,1.0,0,0,0,0,0,P
14 (1),Apr 15,TOR,@,MIN,W,9-3,,1,0.1,0,0,0,0,0,P
16 (1),Apr 17 (2),TOR,@,MIN,L,5-9,,3,0.1,0,0,0,0,0,P
17,Apr 18,TOR,@,CLE,W,3-2,,3,0.2,0,0,0,0,0,P
20 (2),Apr 22,TOR,,BAL,W,9-3,,3,1.0,0,0,0,0,0,P
24 (3),Apr 26,TOR,,BOS,L,6-7,,3,1.0,0,0,0,0,0,P
25,Apr 27,TOR,,BOS,W,7-1,,6,1.2,0,1,0,1,0,P
26,Apr 29,TOR,@,KCR,L,7-10,,4,0.2,0,0,0,0,0,P
29 (2),May 2,TOR,@,PIT,L,5-6,,6,1.0,0,0,0,0,0,P
32 (2),May 5,TOR,@,PHI,W,3-0,,4,1.0,0,0,0,0,0,P
36 (3),May 9,TOR,,LAA,L,3-4,,5,1.1,0,0,0,0,0,P
38 (1),May 11,TOR,,LAA,L,3-9,,4,1.0,0,0,0,0,0,P
39,May 12,TOR,,LAA,W,7-3,,6,2.0,0,1,0,1,0,P
42 (2),May 15,TOR,,CLE,W,4-2,,5,0.2,0,0,0,0,0,P
44 (1),May 17,TOR,@,TEX,W,4-2,,4,1.1,0,0,0,0,0,P
46 (1),May 20,TOR,@,BOS,W,7-4,,3,0.1,0,0,0,0,0,P
47,May 21,TOR,@,BOS,W,6-4,,1,0.1,0,0,0,0,0,P
49 (1),May 23,TOR,,OAK,W,3-2,,2,0.1,0,0,0,0,0,P
53 (3),May 27,TOR,,TBR,W,9-6,,6,1.0,0,0,0,0,0,P
55 (1),May 29,TOR,,KCR,L,6-8,,3,1.0,0,0,0,0,0,P
59 (3),Jun 3,TOR,@,DET,W,5-3,,5,0.2,0,0,0,0,0,P
63 (3),Jun 7,TOR,,STL,L,0-5,,3,0.1,0,0,0,0,0,P
66 (2),Jun 10,TOR,,MIN,L,0-4,,4,1.0,0,0,0,0,0,P
68 (1),Jun 12,TOR,@,BAL,L,2-4,,4,1.0,0,0,0,0,0,P
74 (5),Jun 19,TOR,@,NYY,L,4-6,,6,0.2,0,0,0,0,0,P
