100,1,Apr 13,BRO,,PIT,W,6-1,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,5,1.58,-0.150,-1.70,LF
101,2,Apr 14,BRO,@,NYG,W,10-8,CG,5,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.111,.111,.111,.222,5,.87,-0.035,-0.42,LF
102,3,Apr 15,BRO,@,NYG,W,6-3,CG,5,4,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.231,.231,.231,.462,5,.51,0.044,0.31,LF
103,4,Apr 16,BRO,@,PIT,W,6-0,CG,4,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.250,.294,.250,.544,5,.61,-0.004,0.32,LF
104,5,Apr 17 (1),BRO,@,PIT,W,10-3,CG,5,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250,.318,.250,.568,5,.82,0.025,0.21,LF
105,6,Apr 17 (2),BRO,@,PIT,W,3-2,CG,4,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.261,.346,.304,.651,5,.72,0.112,0.87,LF
106,7,Apr 18,BRO,@,PHI,W,5-2,CG,4,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.240,.367,.280,.647,5,.81,0.041,0.27,LF
107,8,Apr 19,BRO,@,PHI,W,7-6,CG,5,4,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.276,.400,.310,.710,5,.74,0.139,1.37,LF
108,9,Apr 20,BRO,,PHI,W,3-2,CG,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.273,.385,.333,.718,5,1.08,-0.068,-0.79,LF
109,10,Apr 21,BRO,,PHI,W,14-4,CG,5,5,2,1,0,0,1,2,0,0,1,0,0,0,1,0,0,0,.263,.364,.395,.758,5,.44,0.072,1.67,LF
110,11,Apr 22,BRO,,NYG,L,4-5,CG,5,5,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,.326,.408,.488,.897,5,1.00,0.055,1.75,LF
111,12,Apr 23,BRO,,NYG,W,3-1,CG,4,3,1,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,.348,.434,.543,.977,5,1.58,0.209,0.84,LF
112,13,Apr 24,BRO,,NYG,L,10-11,CG(10),6,5,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,.333,.424,.510,.934,5,1.52,-0.034,0.32,LF
113,14,Apr 27,BRO,,CIN,W,7-2,CG,5,3,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,.315,.422,.481,.903,5,.75,-0.025,-0.10,LF
114,15,Apr 28,BRO,,CHC,W,4-2,CG,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.316,.418,.474,.892,5,1.34,0.035,0.37,LF
115,16,Apr 30,BRO,,CHC,W,7-5,CG,4,2,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,.305,.414,.458,.872,5,.83,-0.056,-0.64,LF
116,17,May 1,BRO,,MLN,W,5-4,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.286,.392,.429,.820,5,1.11,-0.178,-1.74,LF
117,18,May 2,BRO,,MLN,W,2-0,CG(12),5,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,.269,.380,.403,.783,5,1.65,-0.127,-0.53,RF LF
118,19,May 4,BRO,,STL,W,12-4,CG,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.357,.375,.732,5,.29,-0.038,-1.38,LF
119,20,May 5,BRO,,STL,W,4-3,GS-8,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.253,.356,.373,.730,5,1.29,0.061,0.58,LF
120,21,May 6,BRO,@,PHI,W,6-4,CG(12),6,6,2,3,0,0,1,1,0,0,0,0,0,0,0,0,1,1,.272,.366,.420,.785,5,1.63,0.131,0.82,RF LF
121,22,May 7,BRO,@,PHI,W,6-3,CG,5,5,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,.279,.367,.442,.809,5,.81,0.068,1.27,LF
122,23,May 8,BRO,@,PHI,W,9-8,CG,4,4,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,.278,.363,.433,.796,5,.52,0.070,0.37,LF
123,24,May 10,BRO,@,CHC,W,3-0,CG,4,4,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,.287,.368,.447,.815,5,.65,0.036,0.50,RF LF
124,25,May 11,BRO,@,CHC,L,8-10,GS-9,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.276,.355,.429,.783,5,1.22,-0.147,-1.39,LF RF
125,26,May 12,BRO,@,MLN,L,1-2,CG(12),5,4,1,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.284,.365,.461,.826,5,1.84,0.029,0.46,LF
126,27,May 13,BRO,@,MLN,W,6-2,CG,5,4,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,.302,.383,.481,.864,5,.70,0.085,1.89,LF
127,28,May 14,BRO,@,CIN,W,13-2,CG,6,4,1,2,0,0,0,2,2,0,0,0,0,0,0,1,0,0,.309,.397,.482,.879,5,.75,0.018,1.01,LF
128,29,May 15 (1),BRO,@,CIN,W,7-1,CG,4,4,1,1,1,0,0,3,0,0,1,0,0,0,0,0,0,0,.307,.392,.482,.875,5,1.05,0.085,1.48,LF
