106,1,Apr 14,SLB,@,DET,L,2-3,GS-0,5,5,1,1,0,0,0,1,0,,2,0,0,,,,0,,.200,.200,.200,.400,8,C
107,18 (16),May 5,SLB,,CHW,L,1-8,0-0,1,1,0,0,0,0,0,0,0,,0,0,0,,,,0,,.167,.167,.167,.333,8,C
108,19,May 6,SLB,@,CLE,W,7-1,0-GF,2,1,1,0,0,0,0,,1,,0,0,0,,,,0,,.143,.250,.143,.393,8,C
109,20,May 7,SLB,@,CLE,W,2-0,CG,4,2,0,1,0,0,0,,2,,0,0,0,,,,0,,.222,.417,.222,.639,8,C
110,21,May 9,SLB,@,CLE,L,5-6,GS-0,4,4,0,1,1,0,0,,0,,1,0,0,,,,0,,.231,.375,.308,.683,8,C
111,22,May 10,SLB,@,CLE,L,0-4,CG,3,3,0,0,0,0,0,0,0,,0,0,0,,,,0,,.188,.316,.250,.566,8,C
112,23,May 12,SLB,@,BOS,L,0-7,GS-0,2,2,0,0,0,0,0,0,0,,1,0,0,,,,0,,.167,.286,.222,.508,8,C
113,24,May 14,SLB,@,BOS,L,0-1,GS-0,2,2,0,0,0,0,0,0,0,,1,0,0,,,,0,,.150,.261,.200,.461,8,C
114,27 (2),May 18,SLB,@,NYY,W,4-2,GS-0,2,1,0,0,0,0,0,0,0,,1,0,1,,,,0,,.143,.250,.190,.440,8,C
115,28,May 19,SLB,@,NYY,W,3-0,CG,4,3,1,1,0,1,0,1,1,,1,0,0,,,,1,,.167,.286,.292,.577,8,C
116,29,May 20,SLB,@,NYY,L,1-3,CG,3,3,0,0,0,0,0,0,0,,1,0,0,,,,0,,.148,.258,.259,.517,8,C
117,30,May 21,SLB,@,WSH,L,4-5,CG,3,2,0,1,0,0,0,1,1,,0,0,0,,,,0,,.172,.294,.276,.570,8,C
118,31,May 22,SLB,@,WSH,W,5-4,CG,4,4,0,1,0,0,0,0,0,,1,0,0,,,,1,,.182,.289,.273,.562,8,C
119,33 (1),May 25,SLB,@,PHA,L,2-6,GS-0,3,3,0,1,0,0,0,,0,,1,0,0,,,,0,,.194,.293,.278,.570,8,C
120,34,May 26,SLB,@,PHA,W,6-5,CG,4,4,0,1,0,0,0,,0,,0,0,0,,,,0,,.200,.289,.275,.564,8,C
121,35,May 27,SLB,@,PHA,T,1-1,CG(6),2,2,0,0,0,0,0,0,0,,0,0,0,,,,0,,.190,.277,.262,.539,8,C
122,36,May 28,SLB,@,PHA,L,0-3,CG,3,3,0,0,0,0,0,0,0,,2,0,0,,,,0,,.178,.260,.244,.504,8,C
123,37,May 30 (1),SLB,,DET,L,1-2,CG,3,2,0,0,0,0,0,0,1,,0,0,0,,,,0,,.170,.264,.234,.498,8,C
124,39 (1),May 31,SLB,,DET,W,4-1,CG,3,3,0,0,0,0,0,0,0,,0,0,0,,,,0,,.160,.250,.220,.470,8,C
125,40,Jun 1,SLB,@,CLE,W,10-5,0-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,,.160,.250,.220,.470,8,C
126,41,Jun 2,SLB,@,CLE,W,3-0,CG,4,4,0,1,0,1,0,,0,,1,0,0,,,,0,,.167,.250,.259,.509,8,C
127,42,Jun 3,SLB,@,DET,W,7-1,GS-0,3,3,0,1,0,0,0,0,0,,0,0,0,,,,0,,.175,.254,.263,.517,8,C
128,43,Jun 5 (1),SLB,@,DET,W,6-5,CG(10),4,4,0,0,0,0,0,0,0,,1,0,0,,,,0,,.164,.239,.246,.485,8,C
129,45 (1),Jun 6,SLB,,WSH,L,3-5,CG,4,4,1,1,0,0,0,1,0,,0,0,0,,,,0,,.169,.239,.246,.486,8,C
130,46,Jun 7,SLB,,WSH,W,3-2,CG(10),4,4,0,1,0,0,0,1,0,,2,0,0,,,,0,,.174,.240,.246,.486,8,C
131,47,Jun 8,SLB,,WSH,W,8-7,GS-0,2,2,0,0,0,0,0,1,0,,2,0,0,,,,0,,.169,.234,.239,.473,8,C
132,48,Jun 9,SLB,,WSH,W,4-3,CG,3,3,0,0,0,0,0,0,0,,1,0,0,,,,0,,.162,.225,.230,.455,8,C
133,49,Jun 10,SLB,,NYY,L,3-5,0-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,,.162,.225,.230,.455,8,C
134,50,Jun 11,SLB,,NYY,W,3-1,0-GF,1,1,0,0,0,0,0,0,0,,0,0,0,,,,0,,.160,.222,.227,.449,2,C
135,52 (1),Jun 13,SLB,,NYY,W,5-4,0-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,,.160,.222,.227,.449,2,C
136,55 (2),Jun 16,SLB,,BOS,L,0-2,0-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,,.160,.222,.227,.449,2,C
137,56,Jun 17,SLB,,BOS,W,4-0,CG,3,3,0,0,0,0,0,0,0,,1,0,0,,,,0,,.154,.214,.218,.432,8,C
138,57,Jun 18,SLB,,PHA,W,6-5,CG,4,2,0,1,0,0,0,,2,,0,0,0,,,,0,,.163,.239,.225,.464,8,C
139,58,Jun 19,SLB,,PHA,W,6-2,CG,4,3,0,1,0,0,0,,0,,0,0,1,,,,0,,.169,.242,.229,.471,8,C
140,59,Jun 20,SLB,,PHA,L,2-5,CG,3,3,1,1,1,0,0,0,0,,0,0,0,,,,0,,.174,.245,.244,.489,8,C
141,60,Jun 21,SLB,,PHA,W,5-0,CG,4,4,1,2,0,0,0,,0,,0,0,0,,,,0,,.189,.255,.256,.511,8,C
142,61,Jun 22,SLB,,PHA,L,0-3,CG,4,4,0,1,0,0,0,0,0,,0,0,0,,,,0,,.191,.255,.255,.510,8,C
143,62,Jun 24 (1),SLB,,CLE,W,5-4,GS-0,4,3,0,1,1,0,0,,0,,0,1,0,,,,0,,.196,.264,.268,.532,8,C
