1,142 (141),Sep 10,MIN,,CLE,W,2-1,CG(12),5,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.250,.250,.250,.500,8,1.87,-0.075,-0.60,,,3B
2,143,Sep 11,MIN,,CLE,L,1-7,CG,4,4,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,.250,.250,.375,.625,7,.42,-0.021,-0.48,,,1B
3,144,Sep 12,MIN,@,DET,L,2-4,8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.250,.250,.375,.625,4,,,,,,PR 1B
4,150 (5),Sep 18,MIN,@,NYM,L,2-3,GS-8,3,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.273,.273,.364,.636,7,1.55,0.003,0.16,,,3B
5,151,Sep 20,MIN,,DET,L,1-8,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.333,.583,1,.04,-0.001,-0.24,,,PH
6,153 (1),Sep 22 (2),MIN,,DET,L,2-4,CG,3,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.214,.267,.286,.552,9,.86,-0.027,-0.28,,,1B 3B
7,154,Sep 23,MIN,,SEA,L,1-10,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.214,.267,.286,.552,1,,,,,,2B
8,157 (2),Sep 27,MIN,@,KCR,L,3-4,GS-11,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.222,.263,.278,.541,9,1.82,-0.060,-0.72,,,1B
9,158,Sep 28,MIN,@,KCR,L,2-5,8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.222,.263,.278,.541,5,,,,,,PR 1B
10,161 (2),Oct 1,MIN,@,CHW,W,6-0,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.227,.261,.273,.534,9,.19,-0.016,-0.40,,,1B
