1,147 (146),Sep 22,CLE,,WSH,L,0-6,0-0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9,,,,P
2,155 (7),Sep 30,CLE,,BOS,L,2-7,GS-0,2,2,0,1,0,0,0,0,0,,1,0,0,,,,0,0,.500,.500,.500,1.000,9,,,,P
