295,5,Apr 8,SFG,,LAD,W,3-2,GS-6,,99,6.0,6,2,2,1,3,0,0,3.00,24,89,57,14,6,10,11,4,2,0,54,,,1,0,0,23,1,0,0,1,0,0,.97,0.019,0.85,,, 1t start tie, 6t 3 out d2
296,10,Apr 14,SFG,@,COL,L,6-11,GS-5,L(0-1),5,4.2,6,6,6,1,7,1,0,6.75,21,91,59,11,14,3,10,2,2,0,34,,,1,0,0,20,2,0,0,0,0,0,1.02,-0.151,-0.95,,, 1b start tie, 5b 123 2 out d2
297,15,Apr 19,SFG,,ARI,L,0-3,GS-5,L(0-2),4,4.2,5,3,3,4,2,0,0,6.46,23,87,52,13,4,6,11,5,3,0,40,,,0,0,0,17,1,1,1,0,1,0,1.11,-0.135,-1.05,,, 1t start tie, 5t 12- 2 out d3
298,20,Apr 24,SFG,,MIA,L,4-5,GS-6,,4,5.2,10,4,4,2,4,1,0,6.43,27,99,65,18,5,10,11,6,0,0,35,,,2,1,0,24,1,0,0,1,1,0,1.17,-0.259,-1.50,,, 1t start tie, 6t --3 2 out d2
299,25,Apr 30,SFG,@,NYM,L,5-6,GS-6,L(0-3),5,6.0,7,6,6,1,5,2,2,7.00,27,108,68,27,7,6,13,6,2,0,38,,,0,0,0,23,1,0,0,1,0,0,.88,-0.311,-3.15,,, 1b start tie, 6b 3 out d3
300,30,May 5,SFG,,COL,L,7-17,GS-5,L(0-4),4,4.0,10,8,6,0,0,2,0,7.84,23,79,61,14,6,8,15,9,1,0,14,,,0,0,0,22,3,0,0,0,0,1,.74,-0.458,-5.08,,, 1t start tie, 5t 12- 0 out d3
301,35,May 10,SFG,,TOR,L,0-4,GS-8,L(0-5),4,8.0,6,2,2,0,7,1,0,6.69,29,107,70,27,9,6,16,7,4,0,69,,,0,1,0,28,1,1,0,0,1,0,.75,0.115,1.80,,, 1t start tie, 8t 3 out d2
302,40,May 15,SFG,@,ARI,W,2-1,GS-7,,4,7.0,7,1,1,2,5,0,0,5.87,29,111,75,22,10,9,13,6,2,0,62,,,0,0,0,24,1,0,0,2,1,1,1.39,0.328,2.71,,, 1b start tie, 7b 3 out tie
303,45,May 21,SFG,,CHC,W,5-3,GS-6,W(1-5),5,6.0,6,1,1,2,5,1,0,5.37,25,105,66,22,10,8,10,4,2,0,59,,,0,1,0,23,0,0,0,0,0,0,.79,0.143,1.85,,, 1t start tie, 6t 3 out a4
304,50,May 27,SFG,@,COL,L,2-5,GS-2,,5,1.2,1,0,0,0,0,0,0,5.20,6,26,15,3,2,3,3,0,0,0,53,,,0,0,0,6,0,0,0,0,0,0,.84,0.093,1.03,,, 1b start tie, 2b --- 2 out tie
