2,11 (10),Apr 30,PHI,@,BSN,L,1-2,0-GF(11),0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,,,,,,5,LF
3,12,May 1,PHI,,NYG,W,1-0,0-0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,,,,,,6,PR
4,18 (5),May 8,PHI,,STL,L,4-5,0-GF,0,0,1,0,0,0,0,0,0,,0,0,0,,0,,0,,,,,,8,PR
5,21 (2),May 12,PHI,,PIT,W,6-5,0-0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,,,,,,9,PR
6,24 (2),May 15,PHI,,CHC,W,6-5,0-0,0,0,1,0,0,0,0,0,0,,0,0,0,,0,,0,,,,,,9,PR
