124 (123),Aug 31,CHW,,CLE,L,5-8,GF,7,2.0,0,0,0,0,0,P
125,Sep 1,CHW,,CLE,L,0-5,GF,5,1.0,0,0,0,0,0,P
151 (25),Oct 5,CHW,,DET,L,3-6,GS,0,4.1,0,0,0,0,0,
