1,10 (9),Apr 26,BOS,,PHA,W,7-6,0-0,1,1,0,0,0,0,0,0,0,,0,0,0,,,,0,,.000,.000,.000,.000,9,PH
2,50 (39),Jun 12,BOS,@,SLB,W,5-3,CG,4,3,1,1,0,0,0,0,0,,0,0,1,,,,0,,.250,.250,.250,.500,8,C
3,52 (1),Jun 15,BOS,@,CHW,W,4-3,0-GF,2,2,0,1,0,0,0,0,0,,0,0,0,,,,0,,.333,.333,.333,.667,8,C
4,53,Jun 16,BOS,@,CHW,W,6-4,CG,4,4,1,1,0,0,0,0,0,,1,0,0,,,,0,,.300,.300,.300,.600,8,C
5,54,Jun 17,BOS,@,CHW,W,4-1,CG,4,4,1,2,0,0,0,0,0,,1,0,0,,,,0,,.357,.357,.357,.714,8,C
6,57 (2),Jun 21,BOS,@,NYY,W,11-3,CG,4,3,2,2,0,1,0,2,1,,0,0,0,,,,0,,.412,.444,.529,.974,8,C
7,58,Jun 22 (1),BOS,@,NYY,W,13-2,CG,4,4,1,2,1,0,0,1,0,,1,0,0,,,,0,,.429,.455,.571,1.026,8,C
8,62 (3),Jun 26 (2),BOS,@,WSH,W,3-0,CG,3,2,1,0,0,0,0,0,1,,0,0,0,,,,0,,.391,.440,.522,.962,8,C
9,63,Jun 27,BOS,@,WSH,L,4-8,CG(8),4,3,0,0,0,0,0,0,1,,1,0,0,,,,0,,.346,.414,.462,.875,8,C
10,67 (3),Jun 29 (2),BOS,,NYY,W,6-0,CG(7),3,3,0,2,1,0,0,0,0,,0,0,0,,,,0,,.379,.438,.517,.955,8,C
11,68,Jul 1,BOS,,NYY,W,4-1,CG,3,2,0,0,0,0,0,0,0,,1,1,0,,,,0,,.355,.429,.484,.912,8,C
12,71 (2),Jul 4 (1),BOS,@,PHA,L,3-4,CG,4,4,0,1,0,0,0,0,0,,1,0,0,,,,0,,.343,.410,.457,.867,8,C
13,76 (4),Jul 8,BOS,,SLB,W,5-1,CG,4,3,0,1,1,0,0,1,0,,0,0,1,,,,0,,.342,.405,.474,.878,8,C
14,78 (1),Jul 10,BOS,,SLB,L,2-9,CG,4,4,0,0,0,0,0,0,0,,0,0,0,,,,0,,.310,.370,.429,.798,8,C
15,80 (1),Jul 12 (2),BOS,,DET,W,1-0,CG(11),4,4,0,0,0,0,0,0,0,,0,0,0,,,,0,,.283,.340,.391,.731,8,C
16,82 (1),Jul 15,BOS,,DET,L,4-6,CG,4,3,0,1,0,0,0,0,1,,1,0,0,,,,0,,.286,.352,.388,.740,8,C
17,85 (2),Jul 17 (2),BOS,,CHW,W,7-3,CG,4,4,1,1,1,0,0,0,0,,0,0,0,,,,0,,.283,.345,.396,.741,8,C
18,90 (4),Jul 23,BOS,,CLE,W,6-3,CG,3,3,1,1,1,0,0,0,0,,0,0,0,,,,0,,.286,.344,.411,.755,8,C
19,91,Jul 24,BOS,,CLE,L,6-11,0-GF,1,0,1,0,0,0,0,0,1,,0,0,0,,,,0,,.286,.355,.411,.766,9,PH
20,94 (2),Jul 28,BOS,@,CHW,W,5-4,GS-0,3,3,0,1,0,0,0,0,0,,1,0,0,,,,0,,.288,.354,.407,.761,8,C
21,99 (4),Aug 2,BOS,@,SLB,W,9-0,CG,4,4,1,1,1,0,0,0,0,,0,0,0,,,,0,,.286,.348,.413,.761,8,C
22,100,Aug 3,BOS,@,SLB,L,2-4,CG,3,3,0,1,1,0,0,1,0,,0,0,0,,,,0,,.288,.347,.424,.771,8,C
23,103 (2),Aug 6,BOS,@,CLE,W,5-4,GS-0,4,3,0,1,1,0,0,1,0,,0,1,0,,,,0,,.290,.355,.435,.790,8,C
24,107 (3),Aug 10,BOS,@,DET,W,4-1,CG,4,2,1,1,1,0,0,0,0,,0,1,1,,,,0,,.296,.367,.451,.818,8,C
25,110 (2),Aug 14 (2),BOS,,SLB,W,8-0,CG(8),3,2,0,1,0,0,0,0,0,,0,0,1,,,,0,,.301,.370,.452,.822,8,C
