199,2 (1),Apr 13,STL,,PIT,W,8-4,0-0,2,2,0,1,0,0,0,0,0,,0,0,0,,,,0,0,.500,.500,.500,1.000,9,P
200,6 (3),Apr 18,STL,,CHC,L,5-7,0-0,1,1,0,1,0,0,0,0,0,,0,0,0,,,,0,0,.667,.667,.667,1.333,9,P
201,8 (1),Apr 22,STL,@,PIT,L,2-14,0-0,1,1,0,0,0,0,0,0,0,,0,0,0,,,,0,0,.500,.500,.500,1.000,9,P
202,12 (3),Apr 27,STL,@,CHC,L,4-6,0-0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.500,.500,.500,1.000,9,P
203,27 (14),May 15,STL,,PHI,W,19-7,0-0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.500,.500,.500,1.000,9,P
204,33 (5),May 22,STL,,BSN,L,6-8,0-0,2,2,0,0,0,0,0,0,0,,0,0,0,,,,0,0,.333,.333,.333,.667,6,P
205,34,May 23,STL,,BSN,L,6-8,0-0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.333,.333,.333,.667,9,P
206,36 (1),May 25,STL,,PIT,L,3-7,0-0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.333,.333,.333,.667,9,P
207,42 (5),May 30 (1),STL,@,CHC,L,1-4,0-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.333,.333,.333,.667,9,P
208,46 (3),Jun 5,STL,@,BSN,L,0-6,0-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.333,.333,.333,.667,9,P
209,53 (6),Jun 13,STL,@,PHI,L,0-14,0-0,1,1,0,0,0,0,0,0,0,,1,0,0,,,,0,0,.286,.286,.286,.571,9,P
210,63 (9),Jun 26,STL,,CIN,L,4-7,0-0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.286,.286,.286,.571,9,P
