192,2,Apr 13,STL,,PIT,W,8-4,,,99,3.2,4,2,1,2,1,0,0,2.45,17,,,,,15,,,,,0,
193,6,Apr 18,STL,,CHC,L,5-7,,L(0-1),4,4.0,2,2,1,2,4,0,0,2.35,17,,,,,14,,,,,0,
194,8,Apr 22,STL,@,PIT,L,2-14,,,3,4.0,8,5,5,3,1,0,0,5.40,21,,,,,15,,,,,0,
195,12,Apr 27,STL,@,CHC,L,4-6,,,4,0.1,1,1,1,1,0,0,0,6.00,3,,,,,2,,,,,0,
196,27,May 15,STL,,PHI,W,19-7,,,17,1.0,2,3,3,2,1,0,0,7.62,7,,,,,5,,,,,0,
197,33,May 22,STL,,BSN,L,6-8,,L(0-2),6,7.0,8,2,1,5,2,0,0,5.40,34,,,,,28,,,,,0,
198,34,May 23,STL,,BSN,L,6-8,,,0,1.1,1,1,1,1,0,0,0,5.48,6,,,,,4,,,,,0,
199,36,May 25,STL,,PIT,L,3-7,,,1,1.1,2,1,1,2,0,0,0,5.56,8,,,,,5,,,,,0,
200,42,May 30(1),STL,@,CHC,L,1-4,,,4,1.0,0,0,0,0,1,0,0,5.32,3,,,,,3,,,,,0,
201,46,Jun 5,STL,@,BSN,L,0-6,,,5,2.0,2,0,0,1,0,0,0,4.91,8,,,,,6,,,,,0,
202,53,Jun 13,STL,@,PHI,L,0-14,,,7,3.0,5,3,3,3,1,1,0,5.34,17,,,,,14,,,,,0,
203,63,Jun 26,STL,,CIN,L,4-7,,,12,2.0,3,2,2,1,1,0,0,5.58,8,,,,,6,,,,,0,
