2 (1),Apr 13,STL,,PIT,W,8-4,,0,3.2,1,0,1,2,0,
6 (3),Apr 18,STL,,CHC,L,5-7,,0,4.0,1,1,0,2,1,
8 (1),Apr 22,STL,@,PIT,L,2-14,GF,0,4.0,0,2,0,2,0,
12 (3),Apr 27,STL,@,CHC,L,4-6,,0,0.1,0,0,0,0,0,
27 (14),May 15,STL,,PHI,W,19-7,,0,1.0,0,0,0,0,0,
33 (5),May 22,STL,,BSN,L,6-8,GF,0,7.0,0,2,0,2,0,
34,May 23,STL,,BSN,L,6-8,,0,1.1,0,1,0,1,0,
36 (1),May 25,STL,,PIT,L,3-7,,0,1.1,0,1,0,1,0,
42 (5),May 30 (1),STL,@,CHC,L,1-4,GF,0,1.0,0,0,0,0,0,
46 (3),Jun 5,STL,@,BSN,L,0-6,GF,0,2.0,0,1,0,1,0,
53 (6),Jun 13,STL,@,PHI,L,0-14,,0,3.0,0,2,0,2,0,
63 (9),Jun 26,STL,,CIN,L,4-7,GF,0,2.0,0,1,0,1,0,
