148 (147),Sep 18,SFG,@,CIN,W,5-3,CG,35,9.0,3,0,0,3,0,C
149,Sep 19,SFG,@,ATL,L,1-5,CG,38,8.0,4,1,0,5,0,C
150,Sep 20,SFG,@,ATL,W,5-3,CG,38,9.0,4,0,0,4,0,C
151,Sep 21,SFG,@,LAD,L,3-16,CG,50,8.0,4,0,1,5,0,C
152,Sep 22,SFG,@,LAD,L,3-6,CG,35,8.0,3,1,0,4,0,C
153,Sep 23,SFG,@,LAD,W,6-2,CG,36,9.0,8,1,0,9,0,C
154,Sep 24,SFG,,SDP,W,3-1,CG,34,9.0,4,0,0,4,1,C
155,Sep 25,SFG,,SDP,W,3-1,CG,34,9.0,6,0,0,6,0,C
156,Sep 26,SFG,,SDP,W,7-6,CG,42,9.0,7,1,0,8,0,C
157,Sep 28,SFG,,LAD,W,7-6,CG,40,9.0,8,2,0,10,0,C
158,Sep 29,SFG,,LAD,W,4-3,GF,4,1.0,1,0,0,1,0,C
159,Sep 30,SFG,,LAD,W,8-2,CG,36,9.0,5,1,0,6,1,C
160,Oct 1,SFG,,ATL,L,3-5,CG,35,9.0,6,0,0,6,0,C
161,Oct 2,SFG,,ATL,L,7-16,CG,52,9.0,6,2,0,8,0,C
162,Oct 3,SFG,,ATL,W,6-3,CG,38,9.0,7,0,0,7,0,C
