100,1,Apr 15,CHC,@,STL,L,5-6,CG,4,4,0,2,1,0,0,2,0,,0,0,0,,,,0,0,.500,.500,.750,1.250,9,P
101,6 (4),Apr 20,CHC,@,CIN,L,2-5,GS-0,2,2,0,0,0,0,0,0,0,,1,0,0,,,,0,0,.333,.333,.500,.833,9,P
102,11 (4),Apr 25,CHC,,STL,W,7-5,GS-0,2,2,0,0,0,0,0,0,0,,0,0,0,,,,0,0,.250,.250,.375,.625,9,P
103,16 (4),May 1,CHC,,CIN,W,8-1,CG,4,4,1,1,1,0,0,0,0,,0,0,0,,,,0,0,.250,.250,.417,.667,9,P
104,21 (4),May 6,CHC,@,PIT,L,0-2,GS-0,2,2,0,0,0,0,0,0,0,,1,0,0,,,,0,0,.214,.214,.357,.571,9,P
105,25 (3),May 12,CHC,,BRO,L,3-7,GS-0,2,1,0,0,0,0,0,0,0,,0,0,1,,,,0,0,.200,.200,.333,.533,9,P
106,30 (4),May 17,CHC,,NYG,W,4-2,CG,3,3,0,0,0,0,0,0,0,,0,0,0,,,,0,0,.167,.167,.278,.444,9,P
107,34 (3),May 22,CHC,,BSN,W,6-2,CG,4,4,0,1,0,0,0,1,0,,0,0,0,,,,0,0,.182,.182,.273,.455,9,P
108,38 (3),May 28,CHC,,PIT,W,9-6,CG,4,2,1,1,0,0,0,0,1,,0,0,1,,,,0,0,.208,.240,.292,.532,9,P
109,43 (4),Jun 1,CHC,,PIT,W,2-1,CG,3,3,0,1,0,0,0,0,0,,0,0,0,,,,0,0,.222,.250,.296,.546,9,P
110,46 (2),Jun 8,CHC,@,BRO,W,8-5,CG(7),3,3,2,2,0,0,0,1,0,,0,0,0,,,,0,0,.267,.290,.333,.624,9,P
111,50 (3),Jun 12,CHC,@,BSN,W,9-5,GS-0,2,1,0,0,0,0,0,1,0,,0,0,1,,,,0,0,.258,.281,.323,.604,9,P
112,54 (3),Jun 18,CHC,@,PHI,W,9-2,CG,4,4,0,0,0,0,0,0,0,,0,0,0,,,,0,0,.229,.250,.286,.536,9,P
113,59 (4),Jun 26,CHC,@,PIT,L,1-2,GS-0,2,1,0,0,0,0,0,0,1,,0,0,0,,,,0,0,.222,.263,.278,.541,9,P
114,63 (3),Jun 30,CHC,@,CIN,L,1-2,CG,3,3,0,0,0,0,0,0,0,,1,0,0,,,,0,0,.205,.244,.256,.500,9,P
115,67 (3),Jul 4 (1),CHC,@,STL,L,0-11,CG,3,3,0,1,0,0,0,0,0,,0,0,0,,,,0,0,.214,.250,.262,.512,9,P
116,72 (4),Jul 8,CHC,,BRO,L,11-13,GS-0,3,3,0,1,1,0,0,3,0,,0,0,0,,,,0,0,.222,.255,.289,.544,9,P
117,77 (4),Jul 13,CHC,,NYG,L,6-9,GS-0,2,1,1,1,0,0,0,2,0,,0,0,1,,,,0,0,.239,.271,.304,.575,9,P
118,82 (4),Jul 18,CHC,,PHI,W,2-1,CG(10),4,3,0,1,0,0,0,0,0,,0,0,1,,,,0,0,.245,.275,.306,.581,9,P
119,88 (5),Jul 22 (2),CHC,,BSN,W,8-1,CG,3,3,0,0,0,0,0,0,0,,0,0,0,,,,0,0,.231,.259,.288,.548,9,P
120,92 (3),Jul 28,CHC,@,PHI,L,11-12,GS-0,1,1,0,0,0,0,0,0,0,,1,0,0,,,,0,0,.226,.255,.283,.538,9,P
121,96 (3),Aug 1,CHC,@,BRO,L,0-4,GS-0,2,2,0,0,0,0,0,0,0,,2,0,0,,,,0,0,.218,.246,.273,.518,9,P
122,105 (8),Aug 9 (1),CHC,@,BSN,W,11-6,GS-0,1,1,0,0,0,0,0,0,0,,0,0,0,,,,0,0,.214,.241,.268,.509,9,P
123,111 (5),Aug 18,CHC,,BSN,W,6-1,CG,3,3,0,1,0,0,0,0,0,,0,0,0,,,,0,0,.220,.246,.271,.517,9,P
124,117 (5),Aug 24,CHC,,NYG,W,2-1,CG,3,3,0,0,0,0,0,0,0,,0,0,0,,,,0,0,.210,.234,.258,.492,9,P
125,122 (4),Aug 28 (1),CHC,,STL,W,5-2,CG,4,4,0,0,0,0,0,0,0,,0,0,0,,,,0,0,.197,.221,.242,.463,9,P
126,128 (5),Sep 1 (2),CHC,@,PIT,L,3-4,GS-0,3,3,0,0,0,0,0,0,0,,1,0,0,,,,0,0,.188,.211,.232,.443,9,P
127,133 (4),Sep 7 (1),CHC,@,STL,W,2-1,CG,3,3,0,0,0,0,0,0,0,,0,0,0,,,,0,0,.181,.203,.222,.425,9,P
128,137 (3),Sep 12,CHC,@,PHI,W,10-8,GS-0,2,2,0,0,0,0,0,0,0,,0,0,0,,,,0,0,.176,.197,.216,.414,9,P
129,142 (4),Sep 18 (1),CHC,@,BSN,W,4-3,CG(11),5,5,1,2,0,0,0,1,0,,0,0,0,,,,0,0,.190,.210,.228,.438,9,P
130,147 (4),Sep 22,CHC,@,BRO,L,1-2,CG(12),4,2,0,0,0,0,0,0,0,,0,0,2,,,,0,0,.185,.205,.222,.427,9,P
131,152 (4),Sep 27,CHC,@,PIT,L,2-3,CG(10),4,4,0,0,0,0,0,0,0,,0,0,0,,,,0,0,.176,.195,.212,.407,9,P
