3 (2),Apr 28,LAD,,ATL,W,9-1,,3,0.2,0,0,0,0,0,P
4,Apr 29,LAD,,ATL,L,3-4,,4,1.0,0,0,0,0,0,P
5,Apr 30,LAD,,ATL,L,3-6,,2,0.2,0,0,0,0,0,P
7 (1),May 2,LAD,@,SFG,L,3-4,,1,0.1,0,0,0,0,0,P
8,May 3,LAD,@,SFG,W,7-6,,1,0.0,0,0,0,0,0,P
9,May 5,LAD,@,COL,W,6-4,,1,0.1,0,0,0,0,0,P
11 (1),May 7,LAD,@,COL,W,12-10,,1,0.1,0,0,0,0,0,P
12,May 8,LAD,@,SDP,L,2-5,,2,0.1,0,0,0,0,0,P
17 (4),May 14,LAD,,STL,L,5-6,,3,0.1,0,0,0,0,0,P
19 (1),May 16,LAD,,PIT,L,0-2,,5,1.0,0,0,0,0,0,P
20,May 17,LAD,,PIT,L,2-3,,2,0.1,0,0,0,0,0,P
23 (2),May 20,LAD,,CHC,L,1-7,,3,1.0,0,0,0,0,0,P
25 (1),May 23,LAD,@,NYM,W,6-4,,3,1.0,0,0,0,0,0,P
30 (4),May 28,LAD,@,MON,L,1-5,,2,0.2,0,0,0,0,0,P
31,May 29,LAD,@,PHI,L,6-8,,4,1.0,0,0,0,0,0,P
32,May 30,LAD,@,PHI,L,0-5,,5,1.0,0,1,0,1,0,P
36 (3),Jun 3,LAD,,NYM,L,3-5,,7,1.2,0,0,0,0,0,P
37,Jun 4,LAD,,NYM,W,5-3,,1,0.0,0,0,0,0,0,P
38,Jun 5,LAD,,MON,W,3-1,,1,0.1,0,0,0,0,0,P
42 (3),Jun 10,LAD,,PHI,L,0-3,,2,0.1,0,0,0,0,0,P
44 (1),Jun 13,LAD,@,PIT,W,5-3,,3,0.1,0,0,0,0,0,P
51 (6),Jun 20,LAD,@,STL,L,0-7,,10,1.2,0,0,0,0,0,P
58 (6),Jun 27,LAD,,SDP,L,3-14,,2,0.1,0,0,0,0,0,P
59,Jun 28,LAD,,SDP,L,2-8,,4,0.0,0,0,0,0,0,P
119 (59),Sep 2,LAD,,MON,L,8-9,,6,1.1,0,0,0,0,0,P
127 (7),Sep 11,LAD,@,CHC,L,1-12,,9,1.0,0,0,0,0,0,P
131 (3),Sep 16,LAD,@,STL,L,4-5,,3,0.0,0,0,0,0,0,P
144 (12),Oct 1,LAD,@,SDP,W,4-1,,10,3.0,0,0,0,0,0,P
