144 (143),Sep 14,MIN,,CHW,W,10-2,,5,0.1,0,0,0,0,0,P
147 (2),Sep 17,MIN,,BAL,L,2-11,,4,0.2,0,0,0,0,0,P
148,Sep 18,MIN,,BAL,L,3-12,,6,0.2,0,0,0,0,0,P
