3 (2),Mar 31,PHI,,ATL,W,5-1,GS,26,6.0,1,1,0,2,0,P
7 (3),Apr 6,PHI,,MIN,L,2-6,GS,28,7.0,0,1,0,1,0,P
12 (4),Apr 12,PHI,@,MIA,W,9-1,GS,27,7.0,1,2,0,3,1,P
17 (4),Apr 17,PHI,,NYM,W,3-2,GS,29,8.0,0,2,0,2,0,P
22 (4),Apr 22,PHI,@,NYM,L,1-5,GS,26,6.0,0,0,0,0,0,P
27 (4),Apr 27,PHI,,MIA,W,12-9,GS,25,5.0,0,1,0,1,0,P
32 (4),May 4,PHI,,WSN,L,8-10,GS,23,6.0,0,1,1,2,0,P
37 (4),May 10,PHI,@,KCR,L,1-5,GS,24,5.0,0,1,0,1,0,P
42 (4),May 15,PHI,,MIL,L,2-5,GS,28,6.0,0,2,0,2,1,P
47 (4),May 20,PHI,@,CHC,W,5-4,GS,27,6.0,1,1,0,2,0,P
52 (4),May 25,PHI,@,MIL,W,7-2,GS,28,8.0,2,0,0,2,0,P
