7,139 (138),Sep 14,CLE,@,CHW,T,4-4,CG(6),2,2,0,0,0,0,0,,0,,0,0,0,,,,0,,.000,.000,.000,.000,9,P
8,141 (1),Sep 17,CLE,@,NYY,L,0-10,0-0,2,2,0,0,0,0,0,0,0,,1,0,0,,,,0,,.000,.000,.000,.000,9,P
9,146 (4),Sep 23,CLE,@,BOS,W,7-3,CG,4,4,0,0,0,0,0,,0,,4,0,0,,,,0,,.000,.000,.000,.000,9,P
10,153 (6),Oct 1,CLE,@,WSH,L,2-4,GS-0,3,3,0,0,0,0,0,,0,,2,0,0,,,,0,,.000,.000,.000,.000,9,P
11,154,Oct 3 (1),CLE,@,SLB,L,4-6,0-GF,1,0,0,0,0,0,0,,1,,0,0,0,,,,0,,.000,.083,.000,.083,9,P
