17 (16),Apr 22,NYY,@,BOS,L,6-7,,10,2.0,0,1,0,1,0,P
18,Apr 23,NYY,@,TBD,L,8-10,,5,1.0,0,0,0,0,0,P
27 (8),May 4,NYY,,SEA,L,11-15,,4,0.0,0,0,0,0,0,P
