1,5,Apr 8,TOR,,BOS,L,7-8,9-GF,,99,1.0,0,0,0,0,1,0,0,0.00,3,12,8,3,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.52,0.040,0.52,,, 9t --- 0 out d1, 9t end d 1
2,6,Apr 9,TOR,,BOS,L,4-8,8-8,,0,1.0,1,0,0,1,1,0,0,0.00,5,16,8,3,2,0,3,2,0,0,,0,0,1,0,0,4,0,0,0,0,0,0,.25,0.008,0.52,,, 8t --- 0 out d4, 8t 3 out d4
3,11,Apr 15,TOR,@,BOS,L,3-5,6-7,,5,2.0,1,0,0,2,2,0,0,0.00,8,36,21,11,2,3,1,0,0,0,,2,1,1,0,0,6,0,0,0,1,0,0,.54,0.026,1.09,,, 6b 12- 0 out d3, 7b 3 out d2
4,16,Apr 20,TOR,@,BAL,L,3-4,10-GF(10),L(0-1),4,0.2,2,1,0,1,1,0,0,0.00,5,27,13,4,1,2,1,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,3.63,-0.359,-0.93,,,10b --- 0 out tie,10b end d 1
5,22,Apr 26,TOR,,CHW,L,1-10,7-8,,5,2.0,3,1,1,1,2,0,0,1.35,10,33,20,5,2,4,3,1,1,0,,0,0,0,0,0,9,0,0,0,0,0,0,.08,-0.004,0.04,,, 7t --- 0 out d6, 8t 3 out d6
6,28,May 3,TOR,,TEX,W,3-1,9-GF(10),W(1-1),6,2.0,2,0,0,0,1,0,0,1.04,8,25,18,5,2,5,2,2,0,0,,0,0,0,0,0,8,1,0,0,0,0,0,1.30,0.181,1.04,,, 9t --- 0 out d1,10t end tie
7,32,May 7,TOR,,LAD,L,2-6,9-GF,,3,1.0,0,1,0,1,1,0,0,0.93,5,20,14,2,3,1,2,1,1,0,,0,0,0,0,0,3,0,0,0,0,1,1,.18,-0.015,-0.48,,, 9t --- 0 out d3, 9t end d 4
8,36,May 11,TOR,@,SFG,L,4-5,7-7,,3,0.1,0,0,0,0,0,0,0,0.90,1,2,1,0,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.10,0.003,0.10,,, 7b --- 2 out d3, 7b 3 out d3
9,38,May 14,TOR,@,TEX,L,5-6,7-8,,2,1.1,1,0,0,0,0,0,0,0.79,5,21,13,3,1,2,3,0,2,0,,1,0,1,0,0,5,0,0,0,0,0,0,.18,0.019,0.93,,, 7b --3 2 out d3, 8b 3 out d3
10,40,May 16,TOR,,TBR,L,2-13,5-6,,1,2.0,0,0,0,0,1,0,0,0.68,6,29,21,6,3,3,2,0,1,0,,0,0,0,0,0,6,0,0,0,0,0,0,.00,0.000,1.04,,, 5t --- 0 out d11, 6t 3 out d10
11,42,May 18,TOR,,TBR,L,3-6,7-7,,1,1.0,0,0,0,0,0,0,0,0.63,3,14,10,2,1,1,2,1,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.28,0.022,0.52,,, 7t --- 0 out d3, 7t 3 out d3
12,43,May 19,TOR,@,MIN,W,3-2,11-GF(11),S(1),0,1.0,1,0,0,0,1,0,0,0.59,3,12,7,1,3,2,0,0,0,0,,0,0,0,1,0,3,0,0,0,0,0,0,3.17,0.203,0.51,,,11b --- 0 out a1,11b end a 1
13,47,May 24,TOR,@,NYY,L,0-6,7-7,,4,0.1,1,0,0,0,0,0,0,0.57,2,9,5,0,0,1,1,0,0,0,,2,1,0,0,0,2,0,0,0,0,0,0,.37,-0.021,-0.38,,, 7b -23 2 out d3, 7b 3 out d4
14,48,May 25,TOR,@,NYY,W,8-4,8-8,,0,1.0,0,0,0,0,2,0,0,0.54,3,12,7,0,5,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.20,0.016,0.52,,, 8b --- 0 out a5, 8b 3 out a5
15,50,May 27,TOR,,BOS,W,7-5,7-8,BW(2-1),1,1.1,2,1,1,0,0,0,0,1.00,5,20,12,2,3,2,3,1,0,0,,1,0,0,0,0,5,1,0,0,1,0,0,2.49,-0.089,-0.25,,, 7t 1-- 2 out a1, 8t 3 out tie
16,52,May 29,TOR,,BOS,L,3-5,8-9,,1,2.0,2,0,0,0,2,0,0,0.90,8,26,18,5,5,4,2,0,0,0,,0,0,0,0,0,8,0,0,0,0,0,0,2.02,0.195,1.04,,, 8t --- 0 out d1, 9t 3 out tie
17,54,May 31,TOR,,NYY,W,4-1,7-7,W(3-1),1,1.0,1,0,0,0,2,0,0,0.86,4,24,13,4,4,2,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.73,0.089,0.52,,, 7t --- 0 out tie, 7t 3 out tie
18,56,Jun 3,TOR,@,BOS,W,5-2,8-8,,2,0.2,1,1,1,1,1,0,0,1.25,4,19,11,2,2,1,1,1,0,0,,0,0,0,0,0,3,1,0,0,0,0,0,1.35,-0.017,-0.80,,, 8b --- 0 out a4, 8b -2- 2 out a3
19,59,Jun 6,TOR,@,DET,L,0-11,6-6,,2,0.1,0,0,0,0,0,0,0,1.23,1,1,1,0,0,1,0,0,0,0,,3,0,0,0,0,1,0,0,0,0,0,0,.02,0.001,0.78,,, 6b 123 2 out d9, 6b 3 out d9
20,60,Jun 7,TOR,@,DET,L,2-3,10-GF(10),L(3-2),0,0.0,2,1,1,1,0,0,0,1.64,4,11,6,1,1,3,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,2.80,-0.361,-2.84,,,10b --- 0 out tie,10b end d 1
21,62,Jun 9,TOR,,BAL,L,5-6,6-7,H(1),1,1.0,1,0,0,1,0,0,0,1.57,5,18,10,3,0,0,4,1,1,0,,0,0,0,0,0,4,1,0,0,0,0,0,2.17,0.088,0.52,,, 6t --- 1 out a1, 7t --- 1 out a1
22,64,Jun 11,TOR,,BAL,W,11-6,8-8,,1,0.0,3,2,2,1,0,0,0,2.35,4,12,7,3,0,0,3,2,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.95,-0.169,-2.84,,, 8t --- 0 out a5, 8t 123 0 out a4
23,66,Jun 13,TOR,,PHI,L,0-7,7-7,,1,0.1,1,1,1,0,1,0,0,2.70,2,9,4,0,1,0,1,0,0,0,,1,1,1,0,0,2,1,0,0,0,0,0,.85,-0.071,-0.79,,, 7t 1-- 1 out d2, 7t -2- 2 out d3
24,69,Jun 16,TOR,@,PHI,W,13-2,9-GF,,2,1.0,0,0,0,0,0,0,0,2.59,3,6,5,1,1,1,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,0.49,,, 9b --- 0 out a11, 9b end a11
25,72,Jun 19,TOR,@,BAL,L,6-11,4-5,,2,0.1,4,1,1,0,0,0,0,2.92,5,15,10,3,2,2,3,1,0,0,,1,0,0,0,0,5,1,0,0,0,0,0,.47,-0.057,-1.77,,, 4b 1-- 2 out d3, 5b 12- 0 out d4
26,77,Jun 26,TOR,@,CHW,L,2-5,6-7,,6,2.0,0,0,0,0,2,0,0,2.70,7,28,19,5,4,4,1,0,1,0,,0,0,0,0,0,7,0,0,0,0,0,0,.09,0.015,0.98,,, 6b --- 0 out d4, 7b 3 out d4
27,79,Jun 28,TOR,@,COL,W,14-9,6-7,,1,1.2,4,4,1,0,1,0,0,2.86,10,39,29,7,3,6,3,3,0,0,,0,0,0,0,0,10,1,0,0,0,0,1,.29,-0.011,-1.40,,, 6b --- 0 out a6, 7b 1-3 2 out a5
28,82,Jul 1,TOR,,CLE,L,1-2,10-10,,2,1.0,1,0,0,0,1,0,1,2.76,5,20,14,3,4,1,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,2.81,0.141,0.52,,,10t --- 0 out tie,10t 3 out tie
