1,70,Jun 21,KCR,@,CHW,L,1-5,7-7,,99,1.0,0,0,0,0,1,0,0,0.00,3,11,8,4,1,0,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.05,0.004,0.54, 7b --- 0 out d5, 7b 3 out d5
2,71,Jun 22,KCR,@,CHW,L,1-5,8-GF(8),,0,1.0,0,0,0,0,0,0,0,0.00,3,13,9,1,2,2,1,0,1,0,,0,0,0,0,0,3,0,0,0,1,0,1,.09,0.003,0.54, 8b --- 0 out d4, 8b end d 4
3,74,Jun 26,KCR,@,COL,L,4-9,8-GF(8),,3,0.1,0,0,0,0,0,0,1,0.00,2,7,3,2,0,1,0,0,0,0,,3,1,0,0,0,1,0,0,0,0,0,0,.03,-0.001,-0.18, 8b 123 2 out d6, 8b end d 7
4,78,Jul 1,KCR,,LAA,L,0-5,9-GF,,4,1.0,1,0,0,0,1,0,0,0.00,4,17,9,2,1,1,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.03,0.002,0.52, 9t --- 0 out d5, 9t end d 5
5,110,Aug 6,KCR,,OAK,L,1-16,9-GF,,35,1.0,2,1,1,1,1,0,0,2.08,6,20,13,6,1,1,3,0,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,.00,0.000,-0.48, 9t --- 0 out d14, 9t end d15
6,111,Aug 7,KCR,,OAK,L,0-11,7-7,,0,1.0,0,0,0,0,0,0,0,1.69,3,11,8,3,0,2,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.01,0.001,0.52, 7t --- 0 out d9, 7t 3 out d9
7,117,Aug 15,KCR,@,SEA,L,3-11,7-8,,7,1.0,2,3,3,3,3,1,0,5.68,8,33,14,3,4,0,2,2,0,0,,2,0,0,0,0,5,0,0,0,0,0,0,.00,0.000,-2.50, 7b 12- 2 out d7, 8b 12- 2 out d10
8,120,Aug 19,KCR,@,OAK,L,0-4,8-GF(8),,3,0.1,0,0,0,0,0,0,0,5.40,1,3,2,0,1,1,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,.11,0.003,0.45, 8b 12- 2 out d4, 8b end d 4
9,123,Aug 23,KCR,,BOS,L,2-5,8-GF,,3,2.0,0,0,0,0,2,0,0,4.15,6,19,14,6,4,0,4,1,2,0,,0,0,0,0,0,6,0,0,0,0,0,0,.04,0.006,1.05, 8t --- 0 out d5, 9t end d 5
10,126,Aug 26,KCR,@,NYY,L,1-5,7-GF(8),,2,2.0,1,2,2,0,2,1,1,5.06,8,35,23,7,3,0,5,0,2,0,,0,0,1,0,0,7,0,0,0,0,0,0,.30,-0.022,-0.96, 7b --- 0 out d2, 8b end d 4
11,128,Aug 28,KCR,@,NYY,L,3-10,7-7,,1,1.0,1,0,0,0,0,0,0,4.63,4,26,16,2,1,0,4,1,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.00,0.000,0.52, 7b --- 0 out d9, 7b 3 out d9
