109 (108),Aug 4,ATL,,PHI,W,9-8,,6,1.0,0,0,0,0,0,P
110,Aug 5,ATL,,PHI,L,4-10,,4,0.1,0,0,0,0,0,P
159 (48),Sep 30,ATL,,HOU,L,8-10,,1,0.1,0,0,0,0,0,P
