1,5,Apr 19,PHA,,NYY,L,6-11,,,99,3.0,2,3,1,0,2,0,0,3.00,13,,,,,10,,,,,0,
2,15,May 1,PHA,@,NYY,L,3-11,,,11,2.0,4,3,0,0,0,0,0,1.80,10,,,,,10,,,,,0,
3,27,May 17,PHA,@,CHW,L,2-6,,,15,4.0,1,0,0,2,1,0,0,1.00,14,,,,,12,,,,,0,
4,28,May 18,PHA,@,CHW,L,6-11,,,0,1.0,1,1,1,1,0,0,0,1.80,5,,,,,4,,,,,0,
5,32,May 23,PHA,@,DET,L,5-10,,,4,7.0,8,7,3,5,0,0,0,2.65,35,,,,,30,,,,,0,
6,35,May 27,PHA,@,CLE,L,8-9,,,3,6.0,6,4,3,4,1,0,3,3.13,25,,,,,18,,,,,0,
7,40,May 31(2),PHA,,BOS,L,2-9,,,3,2.0,2,0,0,0,1,0,0,2.88,4,,,,,4,,,,,0,
8,44,Jun 7,PHA,,SLB,L,1-4,,,6,1.0,0,0,0,1,0,0,1,2.77,7,,,,,5,,,,,0,
9,53,Jun 18,PHA,,CHW,L,4-11,,,10,4.0,5,4,4,4,0,0,2,3.60,18,,,,,11,,,,,0,
10,64,Jun 30(1),PHA,@,BOS,L,5-10,,,11,1.0,2,0,0,0,0,0,0,3.48,4,,,,,4,,,,,0,
11,71,Jul 7(1),PHA,@,NYY,L,5-13,,,6,5.0,6,7,7,9,1,0,0,4.75,27,,,,,18,,,,,0,
12,82,Jul 19,PHA,@,DET,L,6-12,,,11,3.0,2,1,0,2,0,0,0,4.38,9,,,,,7,,,,,0,
13,87,Jul 24(2),PHA,@,CLE,L,4-12,,,4,0.2,1,0,0,1,0,0,0,4.31,4,,,,,3,,,,,0,
14,89,Jul 25(2),PHA,@,CLE,L,4-8,,,0,2.0,2,0,0,0,0,0,0,4.10,8,,,,,8,,,,,0,
15,97,Aug 5(1),PHA,,DET,L,5-11,,,10,6.0,4,6,2,9,0,0,0,3.97,32,,,,,23,,,,,0,
16,102,Aug 10,PHA,,CHW,L,4-9,,,4,2.0,3,2,1,1,2,0,0,3.99,9,,,,,8,,,,,0,
17,140,Sep 20(2),PHA,,CLE,L,3-5,CG,L(0-1),40,9.0,4,5,0,12,4,0,1,3.38,44,61,,,,28,0,0,,,0,
