,date,Date,Rot,VH,Team,Pitcher,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,Final,Open,Close,Open OU,Unnamed: 19,Close OU,Unnamed: 21,h_team,h_1st,h_2nd,h_3rd,h_4th,h_5th,h_6th,h_7th,h_8th,h_9th,h_final,h_ML,h_win,v_win,Past_10_v,Past_10_h,season,neutral,team1,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,rating1_pre,rating2_pre,pitcher1,pitcher2,pitcher1_rgs,pitcher2_rgs,pitcher1_adj,pitcher2_adj,rating_prob1,rating_prob2,rating1_post,rating2_post,score1,score2
0,2017402,402,905,V,NYY,MTANAKA-R,0,2,0,0,0,0,0,0,1,3,-120,-110,7,100,7,-110,TAM,3,2,2,0,0,0,0,0,0,7,110,1,0,,,2017,0,TBD,1495.914291,1514.563629,0.507699614,0.492300386,1498.490361,1511.987559,1507.91549,1506.056048,Chris Archer,Masahiro Tanaka,56.29356277,58.1246515,20.88231903,30.57209971,0.523403902,0.476596098,1510.359394,1503.612144,7,3
1,2017403,403,955,V,COL,JGRAY-R,0,2,0,2,0,0,2,0,1,7,109,-125,8.5,-110,8.5,-115,MIL,0,0,0,0,5,0,0,0,0,5,-119,0,1,,,2017,0,MIL,1492.031413,1487.533581,0.54091995,0.45908005,1489.99438,1489.570614,1475.576439,1479.61038,Junior Guerra,Jon Gray,56.83086349,53.81262359,33.33670246,12.43380709,0.558545374,0.441454626,1473.436822,1481.749997,5,7
2,2017403,403,973,V,PIT,GCOLE-R,0,0,0,0,0,0,3,0,0,3,145,130,9,-110,8.5,-115,BOS,0,0,0,0,5,0,0,0,0,5,-165,1,0,,,2017,0,BOS,1538.189892,1497.923771,0.591445816,0.408554184,1539.517832,1496.595831,1536.494648,1502.64813,Rick Porcello,Gerrit Cole,58.47728099,51.32592717,20.06068947,6.081240038,0.60623661,0.39376339,1537.761782,1501.380997,5,3
3,2017403,403,965,V,TOR,MESTRADA-R,0,0,0,0,1,1,0,0,0,2,-110,116,8.5,-110,8.5,-120,BAL,0,0,2,0,0,0,0,0,0,3,100,1,0,,,2017,0,BAL,1519.235556,1534.274718,0.512892824,0.487107176,1520.556027,1532.954247,1497.584765,1521.777632,Kevin Gausman,Marco Estrada,54.70532705,57.8672133,20.97810827,16.60936433,0.506009281,0.493990719,1498.918215,1520.444181,3,2
4,2017403,403,959,V,PHI,JHELLICKSON-R,2,1,0,0,0,1,0,0,0,4,105,101,9,-120,8.5,-115,CIN,0,0,1,0,0,0,0,0,2,3,-115,0,1,,,2017,0,CIN,1480.005292,1463.003252,0.558734265,0.441265735,1478.409386,1464.599158,1466.256329,1459.25172,Scott Feldman,Jeremy Hellickson,49.24388909,52.94870181,0.534947851,10.78764484,0.533360384,0.466639616,1464.749683,1460.758367,3,4
5,2017403,403,969,V,CLE,CKLUBER-R,0,0,1,2,0,0,1,1,3,8,110,-109,8,-120,8,-110,TEX,0,1,4,0,0,0,0,0,0,5,-125,0,1,,,2017,0,TEX,1508.677053,1538.314911,0.491887182,0.508112818,1506.620428,1540.371537,1511.451035,1553.994582,Yu Darvish,Corey Kluber,58.48005614,61.03720796,31.83481341,35.86164185,0.467322154,0.532677846,1509.498855,1555.946762,5,8
6,2017403,403,963,V,SEA,FHERNANDEZ-R,0,0,0,0,0,0,0,0,0,0,110,141,8,-110,8.5,-120,HOU,1,0,0,1,0,1,0,0,0,3,-125,1,0,,,2017,0,HOU,1515.917745,1517.337027,0.532450587,0.467549413,1517.951944,1515.302828,1544.987857,1529.326014,Dallas Keuchel,Felix Hernandez,54.94250145,50.2161272,15.16403824,0.257944207,0.57845965,0.42154035,1546.737512,1527.576359,3,0
7,2017403,403,953,V,ATL,JTEHERAN-R,0,0,0,0,0,0,0,0,0,0,140,163,6.5,-110,7,-125,NYM,0,0,0,0,0,0,6,0,0,6,-155,1,0,,,2017,0,NYM,1513.953288,1479.210323,0.583741475,0.416258525,1516.559637,1476.603974,1525.537094,1475.19714,Noah Syndergaard,Julio Teheran,58.18834397,55.06156677,23.42122418,26.9686084,0.604385312,0.395614688,1527.969699,1472.764536,6,0
8,2017404,404,901,V,COL,TANDERSON-L,0,0,4,0,2,0,0,0,0,6,105,-108,8.5,-105,8,-110,MIL,0,1,0,2,0,2,0,0,0,5,-115,0,1,,,2017,0,MIL,1489.99438,1489.570614,0.535090841,0.464909159,1488.467008,1491.097986,1473.436822,1481.749997,Zach Davies,Tyler Anderson,51.78693792,57.2044891,9.512475763,28.92129846,0.49464382,0.50535618,1472.051958,1483.134861,5,6
9,2017404,404,909,V,NYY,CSABATHIA-L,0,0,3,0,0,1,0,1,0,5,110,104,7.5,-110,7.5,-120,TAM,0,0,0,0,0,0,0,0,0,0,-120,0,1,,,2017,0,TBD,1498.490361,1511.987559,0.515110145,0.484889855,1495.399849,1515.078071,1510.359394,1503.612144,Jake Odorizzi,CC Sabathia,54.28095305,53.59610616,11.09711737,11.23174604,0.54394145,0.45605855,1507.052894,1506.918644,0,5
