1,146 (145),Sep 21,SLB,,BOS,L,3-5,GS-9,3,3,0,1,0,0,0,0,0,0,1,0,0,,0,,0,0,.333,.333,.333,.667,8,.96,0.031,-0.11,C
2,154 (7),Sep 30,SLB,,WSH,L,1-9,CG,4,3,0,2,0,0,0,1,1,,1,0,0,,,,0,0,.500,.571,.500,1.071,8,,,,C
