1,41,May 20,BOS,@,TBD,L,6-9,7-GF(8),,99,2.0,3,1,1,0,1,0,0,4.50,8,31,20,7,2,2,5,2,2,0,,0,0,1,1,0,8,1,0,0,0,0,0,.28,-0.034,0.08, 7b --- 0 out d2, 8b end d 3
2,45,May 25,BOS,,OAK,W,12-2,9-GF,,4,1.0,1,0,0,0,2,0,0,3.00,4,15,13,3,2,1,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.00,0.000,0.60, 9t --- 0 out a10, 9t end a10
3,47,May 27,BOS,,OAK,L,2-15,4-6,,1,2.2,6,3,3,3,2,1,0,6.35,16,60,36,8,4,1,10,3,1,0,,1,1,0,0,0,13,1,0,0,1,0,0,.01,-0.016,-2.06, 4t -2- 1 out d8, 6t 3 out d12
4,51,May 31,BOS,,BAL,L,4-13,8-GF,,3,2.0,5,3,1,1,1,0,0,5.87,13,45,29,10,3,2,9,4,1,0,,0,0,0,0,0,11,2,0,0,0,1,1,.01,-0.004,-1.81, 8t --- 0 out d7, 9t end d 9
