141 (140),Sep 12,CLE,,DET,L,2-10,GF,0, ,0,0,0,0,0,
142,Sep 13,CLE,,PHA,W,8-4,CG,0,9.0,4,2,0,6,0,
143,Sep 14,CLE,,PHA,W,9-1,CG,0,9.0,3,1,0,4,0,
144,Sep 15,CLE,,PHA,W,3-2,GS,0, ,3,1,0,4,0,
145,Sep 16,CLE,,NYY,L,3-4,GS,0,7.0,1,0,0,1,0,
146,Sep 17,CLE,,NYY,W,9-7,CG,0,9.0,5,0,0,5,0,
147,Sep 19,CLE,,WSH,L,6-9,GS,0,5.0,3,0,0,3,0,
148,Sep 20,CLE,,WSH,W,3-2,GS,0,7.0,0,3,0,3,0,
149,Sep 21,CLE,,WSH,W,3-2,GS,0,9.0,1,4,0,5,1,
150,Sep 22,CLE,,BOS,L,1-4,GS,0,8.0,3,0,0,3,0,
153 (2),Sep 25,CLE,,BOS,L,0-2,GF,0, ,1,1,0,2,0,
154,Sep 30 (1),CLE,,CHW,L,2-7,CG,0,9.0,5,0,0,5,0,
155,Sep 30 (2),CLE,,CHW,L,3-7,GF,0,5.0,1,1,0,2,0,
157 (1),Oct 1 (2),CLE,,CHW,L,4-8,GS,0, ,4,0,0,4,0,
