1,141 (140),Sep 12,CLE,,DET,L,2-10,0-GF,1,1,0,0,0,0,0,0,0,,1,0,0,,,,0,,.000,.000,.000,.000,8,C
2,142,Sep 13,CLE,,PHA,W,8-4,CG,4,2,1,0,0,0,0,,2,,1,0,0,,,,0,,.000,.400,.000,.400,8,C
3,143,Sep 14,CLE,,PHA,W,9-1,CG,4,3,1,0,0,0,0,,1,,1,0,0,,,,0,,.000,.333,.000,.333,8,C
4,144,Sep 15,CLE,,PHA,W,3-2,GS-0,3,3,0,2,2,0,0,,0,,0,0,0,,,,0,,.222,.417,.444,.861,8,C
5,145,Sep 16,CLE,,NYY,L,3-4,GS-0,2,1,0,0,0,0,0,0,1,,0,0,0,,,,0,,.200,.429,.400,.829,8,C
6,146,Sep 17,CLE,,NYY,W,9-7,CG,4,4,2,2,1,0,0,,0,,0,0,0,,,,0,,.286,.444,.500,.944,8,C
7,147,Sep 19,CLE,,WSH,L,6-9,GS-0,3,2,1,1,0,0,0,,1,,1,0,0,,,,0,,.313,.476,.500,.976,8,C
8,148,Sep 20,CLE,,WSH,W,3-2,GS-0,3,2,1,0,0,0,0,1,1,,0,0,0,,,,0,,.278,.458,.444,.903,8,C
9,149,Sep 21,CLE,,WSH,W,3-2,GS-0,3,3,0,1,0,0,0,1,0,,1,0,0,,,,0,,.286,.444,.429,.873,8,C
10,150,Sep 22,CLE,,BOS,L,1-4,GS-0,2,2,0,1,0,0,0,0,0,,1,0,0,,,,0,,.304,.448,.435,.883,8,C
11,151,Sep 23,CLE,,BOS,L,3-5,0-GF,1,1,0,0,0,0,0,0,0,,0,0,0,,,,0,,.292,.433,.417,.850,9,PH
12,153 (1),Sep 25,CLE,,BOS,L,0-2,0-GF,1,1,0,0,0,0,0,0,0,,0,0,0,,,,0,,.280,.419,.400,.819,8,C
13,154,Sep 30 (1),CLE,,CHW,L,2-7,CG,3,3,1,1,1,0,0,,0,,1,0,0,,,,0,,.286,.412,.429,.840,8,C
14,155,Sep 30 (2),CLE,,CHW,L,3-7,0-GF(12),3,3,0,0,0,0,0,0,0,,2,0,0,,,,0,,.258,.378,.387,.765,9,C
15,157 (1),Oct 1 (2),CLE,,CHW,L,4-8,GS-0,2,2,0,0,0,0,0,,0,,0,0,0,,,,0,,.242,.359,.364,.723,8,C
