1,16 (15),Apr 14,ARI,,NYM,L,3-7,5-7,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,9,.64,-0.015,-0.14,P
2,20 (3),Apr 19,ARI,@,LAD,L,6-8,GS-5,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.333,.333,.333,.667,9,.95,0.047,0.20,P
3,25 (4),Apr 24,ARI,@,CHC,W,5-2,GS-7,3,3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.333,.333,.333,.667,9,.64,0.015,0.15,P
4,30 (4),Apr 29,ARI,,COL,L,4-5,GS-6,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.250,.250,.250,.500,9,.89,-0.046,-0.55,P
5,35 (4),May 5,ARI,@,MIL,L,3-8,GS-6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.200,.200,.400,9,.75,-0.037,-0.31,P
6,74 (38),Jun 17,ARI,,MIL,L,5-7,GS-7,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.154,.154,.154,.308,9,.66,-0.050,-0.75,P
7,79 (4),Jun 22,ARI,,SFG,L,1-4,GS-8,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.133,.133,.133,.267,9,.92,-0.044,-0.29,P
8,84 (4),Jun 29,ARI,@,SDP,L,1-2,GS-7,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.125,.125,.125,.250,9,1.06,-0.033,-0.24,P
9,89 (4),Jul 5,ARI,@,ATL,L,4-10,GS-4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.111,.111,.111,.222,9,1.02,-0.050,-0.81,P
10,94 (4),Jul 11,ARI,@,SFG,L,0-5,GS-6,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.105,.105,.105,.211,9,.39,-0.009,-0.13,P
