139 (138),Sep 7 (2),STL,@,CHC,L,1-7,GF,0, ,0,0,0,0,0,
142 (2),Sep 10,STL,,PHI,W,2-1,CG,0,10.0,2,4,0,6,0,
143,Sep 11,STL,,PHI,L,2-8,CG,0,9.0,4,6,0,10,1,
145 (1),Sep 14,STL,,BRO,W,7-6,GS,0, ,1,2,1,4,1,
148 (2),Sep 21 (1),STL,,BSN,L,0-2,CG,0,9.0,1,2,0,3,0,
149,Sep 21 (2),STL,,BSN,L,1-8,CG,0,8.0,0,1,1,2,0,
