480,1,Apr 17,BRO,,PHI,T,5-5,GS-0,2,2,0,0,0,0,0,1,0,,0,0,0,,,,0,0,.000,.000,.000,.000,6,CF
481,2,Apr 18,BRO,,PHI,W,6-5,CG,4,3,1,0,0,0,0,0,1,,0,0,0,,,,0,0,.000,.167,.000,.167,6,CF
482,3,Apr 19,BRO,,PHI,L,3-5,CG,5,4,1,0,0,0,0,0,1,,0,0,0,,,,0,0,.000,.182,.000,.182,6,CF
483,4,Apr 20,BRO,,PHI,L,7-8,0-0,1,1,0,1,0,0,0,1,0,,0,0,0,,,,0,0,.100,.250,.100,.350,9,PH
484,5,Apr 21,BRO,,NYG,L,0-7,CG,4,4,0,1,1,0,0,0,0,,0,0,0,,,,0,0,.143,.250,.214,.464,5,CF
485,6,Apr 22,BRO,,NYG,L,0-10,CG,4,4,0,1,0,0,0,0,0,,0,0,0,,,,0,0,.167,.250,.222,.472,5,CF
486,7,Apr 23,BRO,,NYG,L,3-4,CG,4,4,0,2,0,0,0,1,0,,0,0,0,,,,0,1,.227,.292,.273,.564,5,CF
487,8,Apr 24,BRO,,NYG,L,4-6,CG,4,4,0,1,0,0,0,2,0,,0,0,0,,,,0,0,.231,.286,.269,.555,5,CF
488,9,Apr 26,BRO,@,PHI,W,14-4,GS-0,4,3,0,1,1,0,0,2,0,,1,0,1,,,,0,0,.241,.290,.310,.601,5,CF
489,10,Apr 27,BRO,@,PHI,W,5-2,CG,5,5,1,1,0,0,0,0,0,,1,0,0,,,,0,0,.235,.278,.294,.572,5,CF
490,11,Apr 28,BRO,@,PHI,L,2-3,CG,4,4,0,1,0,0,0,1,0,,0,0,0,,,,0,0,.237,.275,.289,.564,5,CF
491,12,Apr 29,BRO,,BSN,L,1-2,CG,4,4,0,1,0,0,0,0,0,,0,0,0,,,,0,0,.238,.273,.286,.558,5,CF
492,13,Apr 30,BRO,@,NYG,L,3-4,CG,4,4,0,0,0,0,0,0,0,,0,0,0,,,,0,0,.217,.250,.261,.511,5,CF
