1,Apr 17,BRO,,PHI,T,5-5,GS,0, ,0,0,0,0,0,
2,Apr 18,BRO,,PHI,W,6-5,CG,0,9.0,0,0,0,0,0,
3,Apr 19,BRO,,PHI,L,3-5,CG,0,9.0,1,0,0,1,0,
5 (1),Apr 21,BRO,,NYG,L,0-7,CG,0,9.0,2,0,0,2,0,
6,Apr 22,BRO,,NYG,L,0-10,CG,0,9.0,4,0,0,4,0,
7,Apr 23,BRO,,NYG,L,3-4,CG,0,9.0,2,0,0,2,0,
8,Apr 24,BRO,,NYG,L,4-6,CG,0,9.0,2,0,0,2,0,
9,Apr 26,BRO,@,PHI,W,14-4,GS,0, ,2,0,0,2,0,
10,Apr 27,BRO,@,PHI,W,5-2,CG,0,9.0,1,0,0,1,0,
11,Apr 28,BRO,@,PHI,L,2-3,CG,0,8.0,2,1,0,3,1,
12,Apr 29,BRO,,BSN,L,1-2,CG,0,9.0,2,0,0,2,0,
13,Apr 30,BRO,@,NYG,L,3-4,CG,0,8.0,2,0,0,2,0,
