141 (140),Sep 10,STL,@,MLN,L,4-7,GF,12,2.0,0,0,0,0,0,CF
142,Sep 11,STL,@,CHC,L,1-2,CG,32,8.0,2,0,0,2,0,CF
143,Sep 12,STL,@,CHC,W,6-4,GS,36,9.0,3,0,0,3,0,CF LF
144,Sep 13,STL,@,CHC,L,0-8,CG,41,8.0,1,0,0,1,0,CF
145,Sep 15,STL,,PHI,W,6-4,GS,39,9.0,1,0,0,1,0,CF RF
146,Sep 17,STL,,PIT,L,0-7,CG,41,9.0,4,0,0,4,0,CF
147,Sep 19,STL,,CHC,W,2-1,GS,34,9.0,4,0,0,4,0,CF LF
148,Sep 20,STL,,CHC,W,11-4,GF,11,3.0,0,0,0,0,0,CF
149,Sep 21,STL,,CHC,L,3-12,GF,6,1.0,0,0,0,0,0,RF
150,Sep 22,STL,,LAD,W,11-10,GF,12,2.0,0,0,0,0,0,RF
