973,1,Apr 5,TEX,@,BAL,W,7-4,CG,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,.250,.250,.500,.750,3,.81,-0.078,-0.98,RF
974,2,Apr 7,TEX,@,BAL,W,3-1,CG(11),4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.125,.125,.250,.375,3,.86,-0.093,-0.66,RF
975,3,Apr 9,TEX,,BOS,W,3-1,CG,4,3,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,.182,.250,.545,.795,3,.66,0.041,0.73,RF
976,4,Apr 10,TEX,,BOS,L,2-10,GS-9,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,.200,.250,.467,.717,3,.48,-0.037,-1.12,RF
977,5,Apr 11,TEX,,BOS,W,4-1,CG,4,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.176,.300,.412,.712,3,.54,0.000,-0.07,RF
978,6,Apr 12,TEX,,BAL,W,6-3,CG,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.190,.292,.381,.673,3,.50,0.009,-0.18,RF
979,7,Apr 13,TEX,,BAL,W,8-3,CG,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.154,.241,.308,.549,3,.36,-0.044,-1.73,RF
980,8,Apr 14,TEX,,BAL,L,5-6,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.133,.212,.267,.479,3,.82,-0.081,-0.87,RF
981,9,Apr 16,TEX,@,NYY,L,3-5,CG,4,3,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,.121,.216,.242,.459,3,1.72,0.091,0.93,RF
982,10,Apr 17,TEX,@,NYY,W,9-0,CG,5,5,1,3,0,0,0,2,0,0,1,0,0,0,0,0,0,0,.184,.262,.289,.551,3,.43,0.000,2.15,DH
983,11,Apr 18,TEX,@,NYY,W,12-2,CG,5,5,2,3,1,0,1,4,0,0,2,0,0,0,0,0,0,0,.233,.298,.419,.716,3,.63,0.172,3.72,RF
984,12,Apr 20,TEX,@,DET,L,1-3,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.213,.275,.383,.657,3,.86,-0.088,-0.63,RF
985,13,Apr 21,TEX,@,DET,L,4-5,CG,5,5,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,.212,.268,.365,.633,3,2.43,-0.136,-0.29,RF
986,14,Apr 23,TEX,@,MIL,L,0-3,CG,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.200,.254,.345,.600,3,.95,-0.072,-0.66,RF
987,15,Apr 24,TEX,@,MIL,W,15-4,CG,5,4,3,3,1,0,1,4,1,1,0,0,0,0,0,0,0,0,.237,.297,.441,.738,6,.60,0.206,3.26,RF
988,16,Apr 25,TEX,@,MIL,W,6-1,CG,5,5,0,2,0,0,0,2,0,0,1,0,0,0,0,0,1,1,.250,.304,.438,.742,6,1.03,-0.061,-0.13,RF
989,17,Apr 26,TEX,@,TOR,L,6-8,CG,5,3,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,.254,.311,.448,.759,6,1.66,0.022,0.94,RF
990,18,Apr 27,TEX,@,TOR,L,3-4,CG,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.243,.299,.429,.727,6,.83,-0.068,-0.60,RF
991,19,Apr 28,TEX,,DET,W,6-5,CG(11),5,4,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,.243,.305,.432,.737,6,1.58,-0.166,-0.41,RF
992,20,Apr 29,TEX,,DET,L,1-3,CG,4,4,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.244,.302,.436,.738,3,.99,-0.044,0.32,RF
993,21,Apr 30,TEX,,MIL,L,4-5,CG,4,4,1,2,1,0,1,3,0,0,1,0,0,0,0,0,0,0,.256,.311,.488,.799,3,1.34,0.275,2.05,RF
994,22,May 1,TEX,,MIL,L,3-4,CG(12),6,4,1,3,1,1,0,1,2,1,1,0,0,0,0,0,0,1,.279,.344,.535,.879,3,2.40,0.279,2.15,RF
995,23,May 2,TEX,,MIL,W,13-2,GS-8,5,5,1,3,1,0,1,4,0,0,1,0,0,0,0,0,0,0,.297,.356,.582,.939,3,.45,0.129,3.16,RF
996,24,May 3,TEX,,MIL,W,9-2,CG,5,4,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,.295,.349,.568,.917,3,.56,-0.043,-0.94,RF
997,25,May 4,TEX,,TOR,W,3-2,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.293,.345,.556,.901,3,1.54,-0.173,-0.79,RF
998,26,May 5,TEX,,TOR,W,7-1,CG,5,4,1,2,0,0,1,1,1,0,1,0,0,0,0,0,0,0,.301,.357,.583,.939,3,.36,0.142,0.44,RF
999,27,May 7,TEX,@,KCR,L,4-9,CG,4,4,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,.299,.353,.579,.932,3,.54,0.027,1.07,RF
1000,28,May 9,TEX,@,KCR,W,2-1,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.288,.341,.559,.900,3,.86,-0.086,-0.86,RF
1001,29,May 10,TEX,@,OAK,W,7-4,CG,5,3,1,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,.289,.352,.553,.904,3,.53,0.041,1.08,RF
1002,30,May 11,TEX,@,OAK,L,0-6,CG,4,2,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,.302,.371,.569,.940,3,.37,0.057,1.28,RF
1003,31,May 12,TEX,@,OAK,L,7-8,CG,5,4,2,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,.300,.372,.558,.931,3,1.31,0.090,0.47,RF
1004,32,May 13,TEX,@,OAK,W,9-5,CG,5,5,0,2,1,0,0,2,0,0,1,0,0,0,0,0,0,0,.304,.373,.560,.933,3,1.03,-0.019,0.77,RF
1005,33,May 14,TEX,,CHW,L,0-4,CG,4,4,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.302,.370,.550,.920,3,.93,-0.094,-1.06,RF
