21,7 (6),Apr 24,WSH,,BOS,L,3-7,0-GF,1,1,0,0,0,0,0,0,0,,0,0,0,,,,0,0,.000,.000,.000,.000,9,PH
22,11 (3),Apr 30,WSH,,PHA,L,6-9,0-GF,1,1,0,0,0,0,0,0,0,,0,0,0,,,,0,0,.000,.000,.000,.000,9,PH
23,20 (8),May 9,WSH,,NYY,L,3-5,0-GF,1,1,0,0,0,0,0,0,0,,0,0,0,,,,0,0,.000,.000,.000,.000,9,PH
24,21,May 11,WSH,,DET,L,3-5,0-GF,1,1,0,0,0,0,0,0,0,,0,0,0,,,,0,0,.000,.000,.000,.000,9,PH
25,25 (3),May 17,WSH,,SLB,L,1-2,CG,4,4,0,0,0,0,0,0,0,,2,0,0,,,,0,0,.000,.000,.000,.000,4,RF
26,27 (1),May 20,WSH,,CHW,L,5-13,0-GF(16),1,1,0,0,0,0,0,0,0,,0,0,0,,,,0,0,.000,.000,.000,.000,9,PH
27,28,May 21,WSH,,CHW,L,9-11,0-0,1,1,0,0,0,0,0,0,0,,0,0,0,,,,0,0,.000,.000,.000,.000,9,PH
28,38 (9),Jun 1,WSH,@,NYY,L,7-14,0-GF,3,3,0,0,0,0,0,1,0,,0,0,0,,,,0,0,.000,.000,.000,.000,1,CF
29,40 (1),Jun 2 (2),WSH,@,NYY,W,7-6,0-0,1,1,1,0,0,0,0,0,0,,0,0,0,,,,0,0,.000,.000,.000,.000,9,PH
30,45 (4),Jun 10,WSH,@,SLB,L,1-15,0-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,2,LF
31,46,Jun 11,WSH,@,SLB,L,7-8,GS-0,2,2,0,0,0,0,0,1,0,,0,0,0,,,,0,0,.000,.000,.000,.000,4,LF
32,47,Jun 12,WSH,@,CHW,L,8-9,GS-0,4,2,2,0,0,0,0,0,2,,0,0,0,,,,0,0,.000,.100,.000,.100,2,LF
33,48,Jun 13,WSH,@,CHW,L,3-9,0-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.100,.000,.100,9,PR
34,49,Jun 15,WSH,@,CHW,L,5-9,0-GF,3,3,1,0,0,0,0,0,0,,0,0,0,,,,0,0,.000,.087,.000,.087,2,LF
35,50,Jun 18,WSH,@,CLE,L,2-9,0-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.087,.000,.087,2,CF
36,51,Jun 19,WSH,@,CLE,W,5-1,0-GF,1,0,0,0,0,0,0,0,0,,0,0,1,,,,0,0,.000,.087,.000,.087,4,RF
37,54 (2),Jun 23,WSH,@,DET,W,5-2,0-0,1,1,1,1,0,1,0,0,0,,0,0,0,,,,0,0,.045,.125,.136,.261,9,PH
38,58 (3),Jun 28,WSH,,PHA,L,2-6,0-0,1,1,0,0,0,0,0,0,0,,0,0,0,,,,0,0,.043,.120,.130,.250,9,PH
