1,112 (111),Aug 20,BAL,,KCP,L,4-8,CG,4,4,0,1,1,0,0,0,0,,1,0,0,,,,0,,.250,.250,.500,.750,7,2B
2,113,Aug 21,BAL,,KCP,L,0-6,CG(7),3,3,0,1,0,0,0,0,0,,0,0,0,,,,1,,.286,.286,.429,.714,7,2B
