146 (145),Sep 16,WSH,@,CLE,L,1-5,CG,40,8.0,5,0,0,5,0,CF
147,Sep 19,WSH,@,BOS,L,0-2,CG,31,8.0,0,0,0,0,0,CF
148,Sep 20,WSH,@,BOS,L,0-2,CG,33,8.0,5,0,0,5,0,CF
149,Sep 21,WSH,@,BOS,L,0-2,GS,24,6.0,1,0,0,1,0,CF
150,Sep 22,WSH,@,BAL,L,0-2,CG,30,8.0,3,0,0,3,0,CF
151,Sep 23,WSH,@,BAL,L,2-3,CG,33,8.0,1,0,0,1,0,LF
152,Sep 24,WSH,@,BAL,L,0-2,CG,34,8.0,1,0,0,1,0,CF
153,Sep 26 (1),WSH,,BOS,L,4-6,CG,38,9.0,1,0,0,1,0,CF
154,Sep 26 (2),WSH,,BOS,L,1-3,CG,39,9.0,2,0,0,2,0,CF
155,Sep 27,WSH,,BOS,L,5-9,CG,47,9.0,5,0,0,5,0,CF
156,Sep 28,WSH,,BOS,L,4-6,GF,11,3.0,0,0,0,0,0,CF
