154 (153),Sep 22,ATL,,CIN,L,4-6,,1,0.1,0,0,0,0,0,P
158 (3),Sep 27,ATL,,HOU,L,0-4,,2,0.1,0,0,0,0,0,P
160 (1),Sep 29,ATL,@,CIN,L,2-7,,6,2.0,0,0,0,0,0,P
