1,22,May 13,PHA,@,SLB,L,5-7,,,99,1.0,2,4,4,3,0,0,0,36.00,8,,,,,4,,,,,0,
2,59,Jun 21,PHA,,WSH,W,7-6,,W(1-0),38,1.0,0,0,0,1,1,0,0,18.00,4,,,,,3,,,,,0,
3,66,Jun 28,PHA,@,BOS,L,1-8,,,6,0.1,0,0,0,2,0,0,0,15.43,3,,,,,1,,,,,0,
4,77,Jul 10(1),PHA,@,CLE,L,0-10,,,11,2.0,1,2,2,3,1,0,0,12.46,10,,,,,7,,,,,0,
