15,33,May 13,MIN,@,CLE,W,4-1,GS-8,W(1-0),99,7.2,2,1,1,1,4,0,1,1.17,27,104,71,17,7,7,14,4,5,0,74,,,0,0,0,25,0,1,0,0,0,0,.86,0.333,3.14,24.85,44.00, 1b start tie, 8b -2- 2 out a3
16,37,May 18(2),MIN,,COL,W,2-0,GS-8,W(2-0),4,7.2,2,0,0,1,11,0,2,0.59,27,106,72,17,19,6,7,3,2,0,85,,,0,1,0,24,0,0,0,0,0,0,1.00,0.465,3.94,40.25,68.00, 1t start tie, 8t 1-- 2 out a2
17,43,May 24,MIN,@,BAL,W,4-3,GS-7,W(3-0),5,6.1,4,3,3,2,7,3,0,1.66,25,95,58,17,7,5,11,6,3,0,58,,,0,0,0,23,0,0,0,0,0,0,.96,0.039,0.35,22.65,43.00, 1b start a 3, 7b --- 1 out a1
18,48,May 30,MIN,,HOU,L,2-7,GS-5,L(3-1),5,5.0,5,4,4,4,5,0,1,2.70,23,104,63,18,10,9,4,2,0,0,42,,,0,0,0,17,1,0,0,2,1,0,1.48,-0.213,-1.39,7.25,18.00, 1t start tie, 5t 3 out d2
19,53,Jun 4,MIN,@,LAA,W,3-2,GS-6,W(4-1),4,6.0,6,2,2,2,4,0,1,2.76,25,103,65,18,10,9,9,3,0,0,54,,,0,0,0,22,1,0,0,2,0,0,1.10,0.092,1.04,16.10,36.00, 1b start tie, 6b 3 out a1
20,58,Jun 10,MIN,@,SFG,W,3-2,GS-6,W(5-1),5,5.1,6,2,2,3,8,1,1,2.84,26,97,55,17,13,5,9,3,1,0,53,,,0,0,0,22,2,0,0,0,0,0,1.21,0.031,0.45,22.00,46.00, 1b start tie, 6b 1-- 1 out a1
21,63,Jun 15,MIN,,SEA,W,6-2,GS-8,W(6-1),4,8.0,5,2,2,1,6,0,0,2.74,29,108,66,18,6,9,13,3,3,0,69,,,1,0,0,28,1,0,0,1,0,0,.52,0.170,2.18,26.40,48.00, 1t start tie, 8t 3 out a4
22,69,Jun 21,MIN,,CHW,W,4-2,GS-8,W(7-1),5,8.0,4,2,2,1,8,0,0,2.67,28,97,66,19,14,12,7,3,1,0,73,,,0,0,0,27,1,0,0,2,0,1,1.10,0.270,2.18,31.00,54.00, 1t start tie, 8t 3 out a2
23,74,Jun 26,MIN,@,BOS,L,1-4,GS-7,L(7-2),4,6.1,8,4,4,2,7,1,0,2.98,28,107,67,18,13,8,11,7,0,0,46,,,1,0,0,26,0,0,0,1,0,0,.85,0.043,0.65,14.25,28.00, 1b start tie, 7b 1-3 1 out d1
24,79,Jul 1(1),MIN,@,KCR,L,6-11,GS-5,,4,5.0,9,5,5,2,5,3,0,3.44,26,102,68,14,11,8,11,3,1,0,32,,,0,0,0,24,1,0,0,0,0,0,1.07,-0.245,-2.30,4.65,15.00, 1b start tie, 5b 3 out tie
