140 (139),Sep 17,SLB,,WSH,L,2-12,GF,0, ,3,0,0,3,0,
146 (5),Sep 23,SLB,,NYY,L,2-9,GF,0, ,1,0,0,1,0,
148 (1),Sep 25,SLB,,BOS,W,10-1,GF,0, ,0,0,0,0,0,
150 (1),Sep 26 (2),SLB,,BOS,W,6-4,GS,0, ,0,0,0,0,0,
