5,1,Apr 2,SFG,@,ARI,L,5-6,8-8,,99,0.2,0,0,0,0,0,0,0,0.00,1,5,3,1,0,1,0,0,0,0,,2,0,0,0,0,1,0,0,0,1,0,0,2.76,0.170,1.20,1.50,2.00, 8b 12- 0 out tie, 8b --3 2 out tie
6,4,Apr 6,SFG,@,ARI,L,3-9,8-GF(8),,3,1.0,2,3,3,2,0,0,0,16.20,7,25,15,7,0,2,3,1,1,0,,0,0,0,0,0,5,2,0,0,0,0,0,.10,-0.028,-2.43,-6.15,-6.00, 8b --- 0 out d3, 8b end d 6
7,9,Apr 11,SFG,,ARI,L,3-4,7-7,,4,0.1,0,0,0,0,0,0,0,13.50,1,2,1,0,0,0,1,1,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.34,0.010,0.23,0.75,1.00, 7t 1-- 2 out d3, 7t 3 out d3
8,11,Apr 13,SFG,,COL,L,1-3,9-GF,,1,1.0,0,0,0,0,1,0,0,9.00,3,8,6,0,2,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.23,0.017,0.50,4.25,6.00, 9t --- 0 out d2, 9t end d 2
9,13,Apr 15,SFG,,COL,L,0-5,9-GF,,1,1.0,1,0,0,0,0,0,0,6.75,4,13,9,2,0,2,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.03,0.002,0.50,1.65,3.00, 9t --- 0 out d5, 9t end d 5
10,15,Apr 18,SFG,@,KCR,W,2-1,8-8,,2,0.2,0,0,0,1,0,0,1,5.79,4,9,2,0,0,1,1,1,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,2.63,0.020,0.08,0.30,2.00, 8b --- 0 out tie, 8b 12- 2 out tie
11,17,Apr 21,SFG,@,COL,L,5-6,6-6,,2,1.0,0,0,0,0,1,0,0,4.76,3,10,7,3,0,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.45,0.036,0.60,4.25,6.00, 6b --- 0 out d2, 6b 3 out d2
12,21,Apr 25,SFG,,LAD,L,1-2,GS-5,L(0-1),3,5.0,4,2,2,1,2,0,0,4.22,19,75,47,16,6,10,6,4,2,0,52,,,0,0,0,17,0,0,0,1,0,0,1.08,0.003,0.48,8.25,15.00, 1t start tie, 5t 3 out d1
13,26,Apr 30,SFG,,SDP,L,2-5,GS-7,,4,7.0,3,0,0,2,1,0,0,2.55,27,98,59,18,3,11,13,4,1,0,70,,,1,0,0,25,1,0,0,0,0,1,1.15,0.429,3.47,14.75,24.00, 1t start tie, 7t 3 out a2
14,31,May 6,SFG,@,CIN,L,2-14,GS-3,L(0-2),5,3.0,11,10,8,1,0,2,0,5.66,22,75,49,11,3,9,12,7,2,0,0,,,1,0,0,19,3,1,0,0,1,1,.76,-0.526,-8.45,-16.45,-15.00, 1b start tie, 3b 3 out d8
15,36,May 11,SFG,,CIN,L,2-3,GS-7,,4,7.0,5,2,2,1,2,0,0,4.88,26,98,67,15,7,12,11,5,2,0,60,,,1,0,0,25,1,0,0,1,0,0,1.33,0.154,1.47,12.15,21.00, 1t start tie, 7t 3 out tie
16,41,May 16,SFG,,LAD,W,2-1,GS-7,W(1-2),4,7.0,5,1,1,2,4,1,0,4.15,27,109,67,24,5,10,11,5,1,0,65,,,0,0,0,25,1,0,0,1,0,0,1.25,0.289,2.47,21.55,42.00, 1t start tie, 7t 3 out a1
17,46,May 22,SFG,@,CHC,W,6-4,GS-8,W(2-2),5,7.0,8,3,3,0,3,1,0,4.10,27,99,72,20,9,12,12,7,0,0,52,,,0,1,0,27,0,2,0,0,0,0,.66,0.195,0.76,14.95,33.00, 1b start a 1, 8b --3 0 out a4
18,51,May 27,SFG,,ATL,W,6-3,GS-8,W(3-2),4,7.2,6,2,2,3,5,0,0,3.83,30,102,66,19,6,13,9,5,0,0,61,,,0,0,0,26,1,0,0,2,0,0,.71,0.238,1.74,21.85,44.00, 1t start tie, 8t 1-- 2 out a3
19,56,Jun 2,SFG,@,PHI,W,10-0,SHO,W(4-2),5,9.0,7,0,0,0,4,0,0,3.24,32,112,77,24,10,19,9,4,1,0,77,,,0,0,0,32,0,0,0,2,0,0,.41,0.176,4.46,33.05,51.00, 1b start a 2, 9b 3 out a10
20,61,Jun 7,SFG,@,MIL,L,3-6,GS-6,L(4-3),4,6.0,9,5,5,0,3,1,0,3.64,27,104,73,12,9,12,12,7,1,0,37,,,0,0,0,26,4,1,0,0,1,0,1.00,-0.303,-1.87,4.10,12.00, 1b start tie, 6b 3 out d2
21,66,Jun 13,SFG,,KCR,L,1-8,GS-6,L(4-4),5,5.2,10,7,7,1,4,0,0,4.24,27,86,57,15,4,9,13,7,1,0,24,,,0,0,0,26,2,0,1,1,0,0,1.36,-0.194,-1.80,0.15,8.00, 1t start tie, 6t 123 2 out d3
22,71,Jun 18,SFG,@,COL,L,5-7,GS-7,,4,6.2,7,3,3,2,5,2,0,4.23,28,104,70,15,13,9,12,5,3,0,51,,,0,0,0,25,1,1,0,1,0,0,1.32,-0.082,1.04,13.60,26.00, 1b start tie, 7b --- 2 out d1
23,76,Jun 23,SFG,,NYM,L,4-11,GS-3,L(4-5),4,3.0,11,7,7,1,0,1,0,4.86,20,80,48,15,2,6,13,7,4,0,8,,,0,0,0,17,5,0,0,0,1,0,.79,-0.466,-5.51,-14.45,-12.00, 1t start tie, 3t 3 out d6
24,81,Jun 28,SFG,,COL,W,5-3,GS-7,W(5-5),4,6.1,7,3,1,3,6,0,0,4.60,29,110,70,19,12,12,9,4,2,0,54,,,1,0,0,26,0,0,0,1,0,1,1.13,-0.063,-0.05,22.25,46.00, 1t start tie, 7t 1-- 1 out a1
25,86,Jul 5,SFG,@,DET,W,5-4,GS-7,W(6-5),6,6.0,6,3,3,1,2,0,0,4.60,24,90,57,14,7,9,12,7,1,0,49,,,0,0,0,23,1,0,0,1,0,0,.78,0.107,0.87,11.30,27.00, 1b start tie, 7b 1-- 0 out a3
26,95,Jul 18,SFG,,CLE,W,2-1,GS-7,,12,7.0,7,1,1,1,3,0,0,4.36,27,106,64,21,7,11,12,7,0,0,61,,,0,0,0,25,0,1,0,2,0,0,1.16,0.276,2.47,14.95,27.00, 1t start tie, 7t 3 out tie
27,100,Jul 23,SFG,,SDP,L,2-5,GS-7,L(6-6),4,7.0,8,5,5,1,7,1,0,4.50,30,99,63,19,9,7,15,8,2,0,47,,,0,0,0,29,3,0,0,1,0,1,.66,-0.241,-1.53,14.35,27.00, 1t start tie, 7t 3 out d3
28,105,Jul 29,SFG,@,LAD,L,1-2,GS-7,L(6-7),5,7.0,8,2,2,2,3,0,0,4.38,29,101,61,16,6,12,12,9,1,0,54,,,0,0,0,27,3,0,0,2,0,0,.99,0.109,1.51,11.75,24.00, 1b start tie, 7b 3 out d1
29,110,Aug 3,SFG,,OAK,W,11-2,GS-8,W(7-7),4,8.0,6,2,2,1,4,1,0,4.24,30,104,68,20,6,8,17,5,2,0,65,,,0,0,0,29,1,0,0,1,0,0,.34,0.109,1.96,,, 1t start tie, 8t 3 out a9
30,115,Aug 8,SFG,,CHC,W,6-3,GS-7,W(8-7),4,7.0,7,2,2,1,3,0,0,4.15,28,100,64,22,5,12,12,6,1,0,57,,,0,0,0,26,2,0,0,1,0,0,.95,0.218,1.47,,, 1t start tie, 7t 3 out a2
31,120,Aug 14,SFG,@,MIA,L,3-8,GS-6,L(8-8),5,6.0,9,6,6,3,1,2,0,4.37,30,97,61,17,3,15,11,5,2,0,28,,,0,0,0,25,0,0,1,0,0,0,.88,-0.435,-3.12,,, 1b start tie, 6b 3 out d3
