20,2,Apr 8,PIT,@,CIN,L,4-5,7-7,,99,0.1,0,0,0,0,1,0,0,0.00,1,6,3,0,2,0,0,0,0,0,,1,0,1,0,0,1,0,0,0,0,0,0,1.88,0.040,0.22,2.75,1.33, 7b 1-- 2 out tie, 7b 3 out tie
21,3,Apr 9,PIT,@,CIN,L,2-3,6-6,,0,0.2,0,0,0,0,0,0,0,0.00,2,6,5,0,1,0,2,0,1,0,,0,0,0,0,0,2,0,0,0,0,0,0,.82,0.040,0.24,1.50,0.67, 6b --- 1 out tie, 6b 3 out tie
22,4,Apr 10,PIT,@,MIL,W,6-2,8-8,H(1),0,0.2,0,0,0,0,1,0,0,0.00,2,12,9,2,2,1,0,0,0,0,,2,0,0,0,0,2,0,0,0,0,0,0,1.18,0.055,0.87,3.50,1.67, 8b 12- 1 out a4, 8b 3 out a4
23,6,Apr 12,PIT,@,MIL,W,10-2,7-7,H(2),1,1.0,1,0,0,1,1,0,0,0.00,5,23,15,3,4,1,2,1,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,2.53,0.077,0.46,3.05,2.00, 7b --- 0 out a2, 7b 3 out a2
24,8,Apr 14,PIT,,DET,L,0-2,7-9,,1,2.0,1,1,1,1,1,0,0,1.93,8,25,16,2,4,5,1,1,0,0,,2,0,0,0,0,7,1,0,0,0,0,0,.82,0.108,1.09,3.30,2.00, 7t 1-3 2 out d1, 9t -2- 2 out d1
25,11,Apr 18,PIT,,MIL,W,6-2,9-GF,,3,1.0,1,1,1,0,2,0,1,3.18,5,18,14,2,3,1,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.15,0.005,-0.54,2.45,2.00, 9t --- 0 out a5, 9t end a 4
26,13,Apr 20,PIT,,CHC,L,2-5,7-7,L(0-1),1,1.0,2,3,2,1,1,0,0,5.40,6,19,10,5,1,1,3,2,0,0,,0,0,0,0,0,5,2,0,0,0,0,0,1.46,-0.388,-2.54,-2.15,0.00, 7t --- 0 out tie, 7t 3 out d3
27,15,Apr 22,PIT,,CHC,W,4-3,7-7,H(3),1,1.0,0,0,0,0,2,0,0,4.70,3,12,9,2,4,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.57,0.042,0.46,6.25,3.00, 7t --- 0 out a3, 7t 3 out a3
28,16,Apr 23,PIT,,CHC,W,5-4,8-8,H(4),0,1.0,0,0,0,0,2,0,0,4.15,3,10,7,3,3,0,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.56,0.115,0.46,6.25,3.00, 8t --- 0 out a1, 8t 3 out a1
29,19,Apr 26,PIT,@,ARI,W,8-0,8-8,,2,1.0,1,0,0,0,0,0,0,3.72,4,13,8,3,1,2,2,0,0,0,,0,0,1,0,0,4,0,0,0,0,0,0,.30,0.014,0.49,1.05,1.00, 8b --- 0 out a5, 8b 3 out a5
30,22,Apr 29,PIT,@,CHC,W,8-1,7-7,,2,1.0,1,0,0,0,2,0,0,3.38,4,13,10,1,4,0,2,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.23,0.017,0.46,5.05,3.00, 7b --- 0 out a5, 7b 3 out a5
31,23,May 1,PIT,@,STL,L,1-2,7-7,H(5),1,0.1,1,1,1,1,0,0,0,4.09,3,13,8,0,0,1,1,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,2.98,-0.082,-0.41,-2.45,-0.67, 7b --- 0 out a1, 7b 12- 1 out a1
32,25,May 3,PIT,@,STL,L,2-3,7-8,,1,1.1,1,0,0,0,1,0,0,3.65,4,20,13,3,3,2,1,1,0,0,,0,0,0,0,0,4,0,0,0,1,0,0,.82,0.053,0.69,3.80,2.33, 7b --- 0 out d1, 8b --- 1 out d1
33,27,May 6,PIT,,CIN,L,0-3,8-8,,2,1.0,1,0,0,0,1,0,0,3.38,3,9,8,1,2,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.30,0.013,0.46,3.05,2.00, 8t --- 0 out d3, 8t 3 out d3
34,29,May 8,PIT,,STL,L,5-8,7-7,,1,0.2,2,2,2,0,1,1,0,4.50,4,13,8,0,4,0,3,1,0,0,,1,1,0,0,0,4,1,0,0,0,0,0,.46,-0.137,-2.51,-2.90,-0.33, 7t 1-- 1 out d2, 7t 3 out d5
35,33,May 12,PIT,@,PHI,W,7-2,9-GF,,3,1.0,1,0,0,0,1,0,0,4.20,4,8,6,1,1,2,1,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.13,0.006,0.45,3.05,2.00, 9b --- 0 out a5, 9b end a 5
36,36,May 15,PIT,@,CHC,L,10-11,5-5,,2,0.2,0,0,0,0,0,0,0,4.02,2,6,4,1,0,0,2,0,2,0,,2,0,0,0,0,2,0,0,0,0,0,0,.11,0.006,0.86,1.50,0.67, 5b 12- 1 out d6, 5b 3 out d6
37,37,May 16,PIT,@,CHC,L,1-4,7-7,,0,1.0,0,2,2,3,1,0,0,4.86,6,25,11,3,1,0,2,0,1,0,,0,0,1,0,0,2,0,0,0,0,1,0,.81,-0.139,-1.55,0.25,0.00, 7b --- 0 out d1, 7b 3 out d3
38,39,May 19,PIT,,MIN,L,5-8,7-7,,2,1.0,0,0,0,0,1,0,0,4.58,3,15,10,4,0,1,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.13,0.010,0.46,4.25,2.00, 7t --- 0 out d4, 7t 3 out d4
39,40,May 20,PIT,,MIN,L,3-4,12-12,,0,1.0,0,0,0,0,1,0,0,4.34,3,6,6,0,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.75,0.129,0.46,4.25,2.00,12t --- 0 out tie,12t 3 out tie
40,43,May 24,PIT,,NYM,W,9-1,9-GF,,3,1.0,1,0,0,0,1,0,0,4.12,4,13,7,1,1,0,3,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.00,0.000,0.46,3.05,2.00, 9t --- 0 out a8, 9t end a 8
