142 (141),Sep 13,CLE,,PHA,W,8-4,CG,0,9.0,0,0,0,0,0,
143,Sep 14,CLE,,PHA,W,9-1,CG,0,9.0,1,4,1,6,1,
144,Sep 15,CLE,,PHA,W,3-2,CG,0,9.0,0,3,0,3,0,
145,Sep 16,CLE,,NYY,L,3-4,CG,0,9.0,0,1,0,1,0,
146,Sep 17,CLE,,NYY,W,9-7,CG,0,9.0,2,2,0,4,0,
147,Sep 19,CLE,,WSH,L,6-9,CG,0,9.0,1,0,0,1,0,
148,Sep 20,CLE,,WSH,W,3-2,CG,0,9.0,0,4,0,4,0,
149,Sep 21,CLE,,WSH,W,3-2,CG,0,13.0,1,7,0,8,0,
150,Sep 22,CLE,,BOS,L,1-4,CG,0,9.0,2,4,0,6,0,
151,Sep 23,CLE,,BOS,L,3-5,CG,0,9.0,1,2,0,3,1,
152,Sep 24,CLE,,BOS,W,5-3,CG,0,9.0,1,3,0,4,0,
153,Sep 25,CLE,,BOS,L,0-2,CG,0,9.0,3,0,0,3,0,
