1,140 (139),Sep 17,CLE,,BOS,L,1-8,CG,4,4,0,1,0,1,0,1,0,,1,0,0,,,,0,,.250,.250,.750,1.000,7,SS
2,141,Sep 18,CLE,,BOS,L,3-4,CG(10),4,3,1,0,0,0,0,,0,,0,1,0,,,,0,,.143,.250,.429,.679,7,3B
3,142,Sep 19,CLE,,BOS,W,5-1,CG,4,3,0,1,0,0,0,0,0,,0,0,1,,,,0,,.200,.273,.400,.673,7,3B
4,143,Sep 20,CLE,,PHA,L,1-4,CG,3,3,0,1,1,0,0,,0,,0,0,0,,,,0,,.231,.286,.462,.747,7,3B
5,144,Sep 21,CLE,,PHA,W,5-4,CG,4,3,0,1,0,0,0,,0,,0,0,1,,,,0,,.250,.294,.438,.732,7,3B
6,145,Sep 22,CLE,,PHA,L,3-14,CG,4,4,0,1,0,0,0,,0,,0,0,0,,,,0,,.250,.286,.400,.686,7,3B
7,146,Sep 24 (1),CLE,,WSH,L,2-5,CG,4,4,0,0,0,0,0,0,0,,1,0,0,,,,0,,.208,.240,.333,.573,7,3B
8,147,Sep 24 (2),CLE,,WSH,L,0-5,CG,4,4,0,0,0,0,0,0,0,,1,0,0,,,,0,,.179,.207,.286,.493,7,3B
9,148,Sep 25,CLE,,WSH,W,3-1,CG,4,4,1,2,0,0,0,0,0,,1,0,0,,,,0,,.219,.242,.313,.555,7,3B
10,149,Sep 26 (1),CLE,,WSH,W,5-4,CG,4,4,0,3,1,0,0,,0,,0,0,0,,,,0,,.278,.297,.389,.686,7,3B
11,150,Sep 26 (2),CLE,,WSH,L,0-6,CG,4,4,0,0,0,0,0,0,0,,1,0,0,,,,0,,.250,.268,.350,.618,7,3B
12,151,Sep 27 (1),CLE,,NYY,W,5-3,CG,3,3,1,1,0,0,0,,0,,0,0,0,,,,0,,.256,.273,.349,.622,7,3B
13,152,Sep 27 (2),CLE,,NYY,L,2-5,CG,4,3,1,3,0,0,0,,1,,0,0,0,,,,0,,.304,.333,.391,.725,7,3B
14,153,Sep 28,CLE,,NYY,W,5-2,CG,4,2,1,2,0,1,0,1,1,,0,0,1,,,,1,,.333,.373,.458,.831,4,3B
15,154,Sep 29,CLE,,CHW,W,10-4,CG,4,4,1,0,0,0,0,1,0,,0,0,0,,,,0,,.308,.345,.423,.769,4,3B
