140 (139),Sep 17,CLE,,BOS,L,1-8,CG,0,9.0,1,1,1,3,1,
141,Sep 18,CLE,,BOS,L,3-4,CG,0,10.0,2,3,0,5,0,
142,Sep 19,CLE,,BOS,W,5-1,CG,0,9.0,0,1,1,2,0,
143,Sep 20,CLE,,PHA,L,1-4,CG,0,9.0,2,1,0,3,0,
144,Sep 21,CLE,,PHA,W,5-4,CG,0,9.0,3,5,0,8,3,
145,Sep 22,CLE,,PHA,L,3-14,CG,0,9.0,1,1,1,3,0,
146,Sep 24 (1),CLE,,WSH,L,2-5,CG,0,9.0,0,3,0,3,0,
147,Sep 24 (2),CLE,,WSH,L,0-5,CG,0,9.0,1,3,0,4,0,
148,Sep 25,CLE,,WSH,W,3-1,CG,0,9.0,1,0,0,1,0,
149,Sep 26 (1),CLE,,WSH,W,5-4,CG,0,9.0,0,5,0,5,0,
150,Sep 26 (2),CLE,,WSH,L,0-6,CG,0,9.0,0,3,1,4,0,
151,Sep 27 (1),CLE,,NYY,W,5-3,CG,0,9.0,1,2,0,3,0,
152,Sep 27 (2),CLE,,NYY,L,2-5,CG,0,9.0,0,2,0,2,0,
153,Sep 28,CLE,,NYY,W,5-2,CG,0,9.0,1,0,0,1,0,
154,Sep 29,CLE,,CHW,W,10-4,CG,0,9.0,0,1,0,1,0,
