94,142 (141),Sep 13,CLE,,PHA,W,8-4,CG,4,2,1,1,0,0,0,,1,,0,0,1,,,,0,,.500,.667,.500,1.167,2,3B
95,143,Sep 14,CLE,,PHA,W,9-1,CG,5,4,0,2,0,0,0,,1,,0,0,0,,,,0,,.500,.625,.500,1.125,2,3B
96,144,Sep 15,CLE,,PHA,W,3-2,CG,4,4,0,1,1,0,0,,0,,0,0,0,,,,0,,.400,.500,.500,1.000,2,3B
97,145,Sep 16,CLE,,NYY,L,3-4,CG,4,4,0,1,0,0,0,0,0,,0,0,0,,,,0,,.357,.438,.429,.866,2,3B
98,146,Sep 17,CLE,,NYY,W,9-7,CG,5,4,1,1,0,0,0,,0,,2,0,1,,,,0,,.333,.400,.389,.789,2,3B
99,147,Sep 19,CLE,,WSH,L,6-9,CG,5,4,0,0,0,0,0,,1,,2,0,0,,,,0,,.273,.360,.318,.678,2,3B
100,148,Sep 20,CLE,,WSH,W,3-2,CG,4,4,0,0,0,0,0,0,0,,0,0,0,,,,0,,.231,.310,.269,.580,2,3B
101,149,Sep 21,CLE,,WSH,W,3-2,CG(13),6,6,1,3,0,0,0,0,0,,0,0,0,,,,0,,.281,.343,.313,.655,2,3B
102,150,Sep 22,CLE,,BOS,L,1-4,CG,4,4,0,0,0,0,0,0,0,,1,0,0,,,,0,,.250,.308,.278,.585,2,3B
103,151,Sep 23,CLE,,BOS,L,3-5,CG,4,3,0,0,0,0,0,0,1,,0,0,0,,,,0,,.231,.302,.256,.559,2,3B
104,152,Sep 24,CLE,,BOS,W,5-3,CG,4,4,0,0,0,0,0,0,0,,3,0,0,,,,0,,.209,.277,.233,.509,2,3B
105,153,Sep 25,CLE,,BOS,L,0-2,CG,4,4,0,2,0,0,0,0,0,,1,0,0,,,,0,,.234,.294,.255,.549,2,3B
106,155 (1),Sep 30 (2),CLE,,CHW,L,3-7,0-0,1,1,0,0,0,0,0,0,0,,0,0,0,,,,0,,.229,.288,.250,.538,8,PH
